name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,preferred_price_range,max_price,roommate_preferences,weights,lottery_number,assigned
Marie Smith,F,857542321,2004-07-10,Freshman,School of Communication and Information,1,1,['RA' 'SA' 'NCA'],Apartment,8000-11000,10000,"[321250160, 694204982]",35,37505,0
Nancy Johnson,F,427707307,2005-02-25,Freshman,Rutgers Business School–Newark and New Brunswick,1,1,['SA' 'MH' 'BS'],Suite,4000-6000,5000,"[713693066, 476551417]",35,37649,0
Amanda Valdez,F,727910793,2000-09-17,Freshman,School of Communication and Information,1,1,['RA' 'BS' 'MS'],Apartment,6000-8000,7000,[],35,38017,0
Christina Green,F,576756487,2003-09-28,Freshman,School of Arts and Sciences,1,1,['MS' 'NCA' 'WS'],Apartment,8000-11000,10000,"[174291998, 860571201]",35,38238,0
Nicholas Vaughn,M,663676576,2004-06-05,Freshman,Mason Gross School of the Arts,1,1,['MH' 'BS' 'MZH'],Suite,6000-8000,7000,[645261381],35,38955,0
Marc Brown,M,814916376,2003-04-01,Freshman,School of Management and Labor Relations,1,1,['AH' 'SA' 'MRS'],Suite,4000-6000,5000,"[140546975, 147201305]",35,39163,0
Brandy Barron,F,712720272,2002-01-23,Freshman,School of Arts and Sciences,1,1,['MRS' 'JS' 'AH'],Suite,4000-6000,5000,"[333226584, 629694106]",35,39809,0
Sharon Martin,F,518881608,2000-11-15,Freshman,Rutgers Business School–Newark and New Brunswick,1,1,['MS' 'NCA' 'BS'],Traditional Residence Hall,4000-6000,5000,"[483955748, 757217699]",35,41446,0
Amanda Wiley,F,281272413,2000-12-09,Freshman,School of Arts and Sciences,1,1,['RA' 'BS' 'SA'],Apartment,4000-6000,5000,[389129964],35,41759,0
Andrea Harris,F,311046755,2001-07-17,Freshman,School of Arts and Sciences,1,1,['BS' 'MRS' 'MS'],Apartment,4000-6000,5000,"[163784376, 125541577]",35,42329,0
Jeffrey Boyd,M,189700100,2002-05-17,Junior,School of Arts and Sciences,1,1,['SA' 'BS' 'RA'],Suite,4000-6000,5000,[274435996],30,30,0
Tonya Parker,F,110585324,2004-01-24,Junior,School of Environmental and Biological Sciences,1,1,['BS' 'CS' 'RA'],Suite,4000-6000,5000,[906034388],30,820,0
Karen Hayes,F,340648202,2002-06-05,Junior,Rutgers Business School–Newark and New Brunswick,1,1,['NCA' 'BS' 'BH'],Suite,8000-11000,10000,"[538727156, 850364409]",30,1139,0
Jonathan Wilson,M,213178528,2001-12-22,Senior,School of Arts and Sciences,1,1,['NCA' 'TS' 'RA'],Traditional Residence Hall,8000-11000,10000,"[102426551, 945144475]",30,1193,0
Katie Dennis,F,456583598,2002-01-24,Sophomore,School of Arts and Sciences,1,1,['BS' 'JS' 'NCA'],Suite,8000-11000,10000,[738802738],30,1327,0
Chad Garcia,M,668720571,1997-04-21,Doctorate,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,8000-10500,9500,[],30,1389,0
Alyssa Roberts,F,320483532,2001-04-14,Sophomore,School of Arts and Sciences,1,1,['BS' 'RA' 'AH'],Apartment,4000-6000,5000,"[342842975, 930656588]",30,1454,0
Wendy Brooks,F,188713074,2005-05-17,Sophomore,Edward J. Bloustein School of Planning and Public Policy,1,1,['BS' 'MS' 'SA'],Suite,4000-6000,5000,"[281783593, 720078891]",30,2052,0
Brett Stevens,M,424545369,2005-05-18,Senior,School of Arts and Sciences,1,1,['RA' 'BS' 'NCA'],Suite,6000-8000,7000,"[647429842, 962027848]",30,2068,0
Alisha Miller,F,905734673,2003-02-28,Senior,School of Arts and Sciences,1,1,['BS' 'RA' 'MS'],Apartment,4000-6000,5000,[],30,2401,0
Elizabeth Baker,F,369524970,2004-10-08,Senior,Rutgers Business School–Newark and New Brunswick,1,1,['AH' 'SA' 'BH'],Suite,4000-6000,5000,[179993705],30,2469,0
Holly Nguyen,F,952139753,2004-03-20,Sophomore,School of Arts and Sciences,1,1,['MS' 'RA' 'SA'],Suite,4000-6000,5000,[713551261],30,2891,0
Sheila Smith,F,796806564,1998-07-14,Masters,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,10500-12000,11000,"[303158047, 761460177]",30,3270,0
Marie Hicks,F,832015925,2004-04-20,Senior,School of Arts and Sciences,1,1,['JS' 'CS' 'MRS'],Suite,8000-11000,10000,[],30,3303,0
Victoria Harris,F,327230181,2002-01-05,Junior,School of Arts and Sciences,1,1,['SA' 'TS' 'BS'],Traditional Residence Hall,8000-11000,10000,[814759478],30,3361,0
Laurie Woods,F,186706365,2005-07-29,Junior,School of Social Work,1,1,['WS' 'MS' 'JS'],Suite,8000-11000,10000,"[217214658, 876568302]",30,3567,0
James Velasquez,M,679617778,2000-05-29,Junior,School of Arts and Sciences,1,1,['MS' 'MH' 'SA'],Suite,8000-11000,10000,[],30,5504,0
Anne Evans,F,860024630,2001-09-03,Sophomore,School of Arts and Sciences,1,1,['JS' 'RA' 'TS'],Apartment,4000-6000,5000,"[345681328, 415954148]",30,6073,0
Laura Silva DDS,F,883459565,2001-10-16,Junior,Rutgers Business School–Newark and New Brunswick,1,1,['BS' 'SA' 'CS'],Suite,6000-8000,7000,[],30,6156,0
James Nelson,M,841904446,2002-06-03,Sophomore,School of Communication and Information,1,1,['MRS' 'RA' 'MH'],Suite,8000-11000,10000,[],30,6560,0
John Estes,M,438472901,2003-12-10,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['BS' 'NCA' 'MS'],Apartment,8000-11000,10000,"[370053371, 758358863]",30,7139,0
Michael Schwartz,M,526684425,2004-04-25,Sophomore,Mason Gross School of the Arts,1,1,['MS' 'MH' 'JS'],Apartment,4000-6000,5000,[],30,8920,0
Rebecca Smith,F,706974361,2001-05-06,Junior,School of Arts and Sciences,1,1,['BS' 'NCA' 'JS'],Apartment,4000-6000,5000,"[486786865, 601237594]",30,9155,0
Robert Norton,M,300842884,2005-07-26,Sophomore,School of Arts and Sciences,1,1,['RA' 'NCA' 'BS'],Suite,6000-8000,7000,"[778829888, 578361990]",30,9583,0
Timothy Michael,M,462675756,2005-06-22,Sophomore,School of Arts and Sciences,1,1,['SA' 'NCA' 'MS'],Apartment,4000-6000,5000,"[784874186, 859955714]",30,10008,0
Monica Hanson,F,698550262,2003-11-15,Senior,School of Communication and Information,1,1,['MH' 'SA' 'BS'],Suite,8000-11000,10000,"[347082973, 725108310]",30,10198,0
Jason Dean,M,378427340,2003-10-13,Junior,School of Arts and Sciences,1,1,['BH' 'MS' 'AH'],Apartment,6000-8000,7000,[],30,10393,0
Ruben Good,M,610805192,2002-07-22,Sophomore,School of Arts and Sciences,1,1,['BS' 'JS' 'RA'],Suite,4000-6000,5000,"[322943535, 598129220]",30,10482,0
Kelly Adams,F,209352492,2001-04-01,Junior,Rutgers Business School–Newark and New Brunswick,1,1,['RA' 'NCA' 'JS'],Suite,8000-11000,10000,"[688137009, 481332853]",30,10916,0
Gerald Roberts,M,206443565,2004-11-08,Junior,School of Arts and Sciences,1,1,['WS' 'RA' 'BS'],Suite,4000-6000,5000,"[515256828, 357099246]",30,11604,0
Jake Brown,M,133574840,2001-07-12,Sophomore,School of Arts and Sciences,1,1,['RA' 'SA' 'MZH'],Suite,4000-6000,5000,[515648368],30,11836,0
Connie Ryan,F,898137882,2004-09-25,Junior,School of Arts and Sciences,1,1,['SA' 'RA' 'MZH'],Suite,4000-6000,5000,[],30,11912,0
Emma Pierce,F,170040959,2002-04-11,Sophomore,School of Arts and Sciences,1,1,['AH' 'JS' 'BS'],Suite,4000-6000,5000,[352913141],30,12264,0
Kimberly Underwood,F,386524747,1997-09-24,Masters,School of Graduate Studies,1,1,['JA' 'BA'],Apartment,8000-10500,9500,"[901768088, 896429588]",30,12800,0
Michael Wall,M,903907701,1995-05-14,Masters,Graduate School of Education,1,1,['BA' 'JA'],Apartment,8000-10500,9500,"[627614620, 516473350]",30,13244,0
Kimberly Brown,F,595568354,1999-10-22,Sophomore,School of Communication and Information,1,1,['BS' 'SA' 'MH'],Traditional Residence Hall,4000-6000,5000,[],30,13389,0
Melissa Bean,F,439431871,2001-12-08,Sophomore,Mason Gross School of the Arts,1,1,['AH' 'JS' 'BH'],Suite,4000-6000,5000,"[146487297, 216408127]",30,13543,0
Kristina Simpson,F,890745606,1994-09-23,Masters,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,8000-10500,9500,[705692392],30,13673,0
David Valdez,M,302767160,2000-07-11,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['SA' 'MH' 'MS'],Suite,6000-8000,7000,[826895646],30,13873,0
Brittany Hoover,F,681359606,2002-03-14,Junior,School of Arts and Sciences,1,1,['SA' 'TS' 'JS'],Apartment,8000-11000,10000,[486275157],30,14060,0
Kara Williams,F,431850484,2002-01-08,Junior,School of Arts and Sciences,1,1,['CS' 'MZH' 'TS'],Suite,4000-6000,5000,"[533856705, 832808037]",30,14262,0
Leonard Patton,M,724454371,2003-09-24,Senior,School of Arts and Sciences,1,1,['AH' 'CS' 'RA'],Apartment,8000-11000,10000,[556876019],30,14295,0
Nicole Arellano,F,450539299,2005-04-15,Sophomore,School of Management and Labor Relations,1,1,['NCA' 'RA' 'MH'],Traditional Residence Hall,8000-11000,10000,"[182473095, 952502481]",30,14941,0
Robert Silva,M,474259550,1997-12-04,Masters,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,10500-12000,11000,"[558892882, 457909682]",30,15564,0
Chelsey Bowers,F,194420592,2005-03-30,Sophomore,Mason Gross School of the Arts,1,1,['WS' 'BS' 'RA'],Suite,4000-6000,5000,"[378383800, 672200995]",30,15566,0
Juan Lopez,M,667017903,2002-05-31,Sophomore,School of Arts and Sciences,1,1,['BS' 'NCA' 'BH'],Apartment,4000-6000,5000,[],30,15641,0
Peter Jenkins,M,884856753,2002-01-12,Junior,School of Management and Labor Relations,1,1,['NCA' 'WS' 'TS'],Traditional Residence Hall,4000-6000,5000,[],30,15985,0
Cheyenne Cox,F,100967070,2003-12-20,Junior,School of Engineering,1,1,['SA' 'BS' 'WS'],Suite,6000-8000,7000,[],30,16994,0
Kirk Williams,M,262618975,2000-09-04,Doctorate,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,10500-12000,11000,"[796482662, 613412016]",30,17036,0
Jennifer Lopez,F,463767330,2004-12-20,Senior,School of Social Work,1,1,['MH' 'BS' 'AH'],Suite,6000-8000,7000,"[654013352, 172336765]",30,17467,0
Ms. Rebecca Koch,F,697932565,2000-01-07,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['CS' 'MS' 'MH'],Suite,4000-6000,5000,"[803943569, 746331712]",30,17602,0
Karen Quinn,F,736730773,2002-02-28,Junior,School of Arts and Sciences,1,1,['RA' 'BH' 'SA'],Traditional Residence Hall,8000-11000,10000,"[285144094, 283335818]",30,17603,0
Sonya Cobb,F,792777649,2005-01-20,Senior,School of Arts and Sciences,1,1,['MH' 'SA' 'RA'],Suite,6000-8000,7000,[268448390],30,18620,0
Miguel Bailey,M,573683323,2001-10-03,Senior,School of Arts and Sciences,1,1,['NCA' 'BS' 'MRS'],Suite,4000-6000,5000,"[582447226, 826100080]",30,18987,0
Todd Chaney,M,904936757,2001-03-16,Sophomore,School of Arts and Sciences,1,1,['AH' 'MZH' 'RA'],Suite,8000-11000,10000,"[516281691, 370121261]",30,19404,0
John Lowe,M,562751055,1997-08-20,Masters,School of Graduate Studies,1,1,['JA' 'BA'],Apartment,8000-10500,9500,"[989516453, 406745437]",30,19725,0
Betty Williams,F,953891067,2000-09-15,Junior,School of Management and Labor Relations,1,1,['TS' 'SA' 'NCA'],Suite,8000-11000,10000,"[741271191, 964890852]",30,20017,0
Larry Hickman,M,312669093,2000-07-22,Masters,Graduate School of Education,1,1,['BA' 'JA'],Apartment,10500-12000,11000,[],30,20090,0
Mike Garcia,M,478481550,2004-11-29,Senior,School of Engineering,1,1,['BS' 'SA' 'BH'],Traditional Residence Hall,4000-6000,5000,"[764764017, 241830555]",30,20322,0
Samantha Hanson,F,406745437,1996-12-11,Masters,Graduate School of Applied and Professional Psychology,1,1,['BA' 'JA'],Apartment,8000-10500,9500,[989516453],30,20895,0
Albert Zimmerman,M,177484257,2000-10-04,Sophomore,Mason Gross School of the Arts,1,1,['RA' 'NCA' 'SA'],Suite,8000-11000,10000,[],30,21067,0
Katie Perkins,F,153822188,2001-07-30,Sophomore,School of Social Work,1,1,['SA' 'MH' 'WS'],Apartment,4000-6000,5000,[],30,21082,0
Rebecca Russo,F,627995469,2004-03-10,Junior,School of Environmental and Biological Sciences,1,1,['MS' 'BS' 'CS'],Suite,6000-8000,7000,"[233941294, 624159681]",30,21261,0
Shane Jimenez,M,681131052,1999-12-21,Sophomore,School of Social Work,1,1,['WS' 'BS' 'MZH'],Traditional Residence Hall,8000-11000,10000,"[300305515, 737544377]",30,21341,0
Benjamin Beck,M,453505538,2000-12-21,Junior,School of Arts and Sciences,1,1,['BS' 'JS' 'CS'],Apartment,4000-6000,5000,[262808670],30,21583,0
Cory Romero,M,997072879,2003-12-03,Sophomore,School of Arts and Sciences,1,1,['SA' 'NCA' 'RA'],Apartment,4000-6000,5000,[934218518],30,21636,0
Robert Stewart,M,745898400,2000-03-05,Senior,School of Arts and Sciences,1,1,['NCA' 'BS' 'SA'],Suite,8000-11000,10000,"[691391491, 886663842]",30,22101,0
John David,M,706207019,2003-01-16,Junior,School of Arts and Sciences,1,1,['CS' 'BS' 'MS'],Apartment,8000-11000,10000,[],30,22962,0
Brandon Miller,M,431015785,2002-11-20,Sophomore,Mason Gross School of the Arts,1,1,['BS' 'MRS' 'MH'],Traditional Residence Hall,4000-6000,5000,"[778383633, 263155037]",30,23475,0
Stacey Price,F,797543282,2004-09-12,Sophomore,Mason Gross School of the Arts,1,1,['SA' 'MZH' 'BS'],Suite,6000-8000,7000,[],30,23607,0
Xavier Scott,M,586363955,2001-11-01,Senior,School of Social Work,1,1,['BS' 'SA' 'MS'],Suite,4000-6000,5000,"[197413440, 181514391]",30,23869,0
Desiree Baker,F,492248445,2000-04-26,Sophomore,School of Management and Labor Relations,1,1,['SA' 'WS' 'TS'],Traditional Residence Hall,4000-6000,5000,[406534581],30,23979,0
Peter Anthony,M,726301486,2004-12-16,Sophomore,School of Environmental and Biological Sciences,1,1,['NCA' 'SA' 'JS'],Apartment,4000-6000,5000,[455083820],30,24260,0
Amanda Keller,F,116909959,2003-04-30,Sophomore,School of Arts and Sciences,1,1,['SA' 'MZH' 'BS'],Apartment,4000-6000,5000,[],30,24465,0
Bobby Valencia,M,515330988,2004-04-16,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['MZH' 'NCA' 'BS'],Suite,4000-6000,5000,[362104640],30,24627,0
Mark Lopez,M,817682018,2003-06-13,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['BH' 'MS' 'MZH'],Suite,6000-8000,7000,"[550479813, 983838713]",30,25096,0
Angelica Baker,F,498936595,1999-12-20,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['MH' 'MRS' 'SA'],Suite,4000-6000,5000,"[642142382, 541350357]",30,25353,0
Matthew Anderson,M,745805171,1998-04-24,Masters,School of Graduate Studies,1,1,['JA' 'BA'],Apartment,10500-12000,11000,[917712975],30,26802,0
Jose Dickerson,M,282145386,2000-12-28,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['RA' 'BS' 'JS'],Suite,4000-6000,5000,"[988840910, 759603112]",30,26976,0
Sherry Griffith,F,286679248,2001-04-04,Junior,School of Arts and Sciences,1,1,['MZH' 'BS' 'SA'],Apartment,4000-6000,5000,[406315187],30,27973,0
Gary Dunlap,M,180272439,2000-11-01,Sophomore,School of Environmental and Biological Sciences,1,1,['BS' 'MH' 'BH'],Traditional Residence Hall,4000-6000,5000,[666661510],30,28487,0
Karen Shaw,F,672388899,2002-11-15,Junior,School of Arts and Sciences,1,1,['MH' 'TS' 'BS'],Suite,4000-6000,5000,"[681972680, 333600241]",30,28936,0
David Mann,M,723055877,2005-02-24,Junior,Rutgers Business School–Newark and New Brunswick,1,1,['BS' 'SA' 'BH'],Suite,4000-6000,5000,[],30,28961,0
Thomas Williams,M,819748081,1993-12-14,Masters,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,8000-10500,9500,"[494266332, 991556050]",30,29405,0
Frank Berry,M,114730323,2005-07-29,Junior,Rutgers Business School–Newark and New Brunswick,1,1,['RA' 'BS' 'MZH'],Suite,8000-11000,10000,[461439507],30,29487,0
Denise Christensen,F,944823081,2002-04-06,Senior,School of Social Work,1,1,['RA' 'TS' 'JS'],Suite,4000-6000,5000,"[145076558, 565003158]",30,29841,0
Chelsey Burch,F,515993453,2000-02-22,Junior,School of Social Work,1,1,['MRS' 'NCA' 'TS'],Suite,4000-6000,5000,[],30,31200,0
Alyssa Cook,F,591643274,2000-10-16,Junior,School of Arts and Sciences,1,1,['BS' 'BH' 'TS'],Apartment,4000-6000,5000,"[201968457, 655333454]",30,31525,0
Veronica Ramirez,F,245448939,2004-07-31,Sophomore,School of Arts and Sciences,1,1,['CS' 'BS' 'NCA'],Traditional Residence Hall,6000-8000,7000,[],30,32322,0
Anthony Martin,M,118442075,1994-07-03,Masters,School of Graduate Studies,1,1,['JA' 'BA'],Apartment,10500-12000,11000,[],30,32563,0
Carl Schroeder,M,344473633,2002-11-23,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['AH' 'NCA' 'BS'],Suite,4000-6000,5000,"[565115391, 555747424]",30,32668,0
Benjamin Grant,M,388686618,2000-06-15,Junior,School of Social Work,1,1,['SA' 'BS' 'NCA'],Apartment,4000-6000,5000,"[388250471, 451275328]",30,32819,0
