name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,preferred_price_range,max_price,roommate_preferences,weights,lottery_number,assigned
Alexander Mooney,M,173819064,2001-10-01,Freshman,School of Management and Labor Relations,1,1,['WS' 'MS' 'NCA'],Apartment,4000-6000,5000,"[841841635, 583295035]",35,20596,0
Dana Newton,F,157740697,2000-11-15,Freshman,School of Arts and Sciences,1,1,['NCA' 'MH' 'CS'],Traditional Residence Hall,4000-6000,5000,[968624638],35,22375,0
Darren Davis,M,386962291,2002-08-21,Freshman,School of Arts and Sciences,1,1,['BS' 'WS' 'NCA'],Suite,8000-11000,10000,"[285634028, 759734771]",35,23709,0
Amanda Wiley,F,281272413,2000-12-09,Freshman,School of Arts and Sciences,1,1,['RA' 'BS' 'SA'],Apartment,4000-6000,5000,[389129964],35,23716,0
Carol Brown,F,719631263,2005-07-14,Freshman,School of Arts and Sciences,1,1,['SA' 'NCA' 'CS'],Apartment,4000-6000,5000,"[498712421, 808006713]",35,24395,0
Christina Green,F,576756487,2003-09-28,Freshman,School of Arts and Sciences,1,1,['MS' 'NCA' 'WS'],Apartment,8000-11000,10000,"[174291998, 860571201]",35,24554,0
Lauren Miller,F,269968504,2003-07-27,Freshman,School of Arts and Sciences,1,1,['TS' 'WS' 'BS'],Apartment,8000-11000,10000,"[429623275, 736088677]",35,25420,0
Mason Carter,M,975350048,2001-08-22,Freshman,School of Arts and Sciences,1,1,['MS' 'RA' 'BS'],Apartment,8000-11000,10000,"[748396203, 946717419]",35,25510,0
Amy Andrews,F,170008579,2003-01-20,Freshman,School of Environmental and Biological Sciences,1,1,['BS' 'SA' 'NCA'],Apartment,8000-11000,10000,[],35,26122,0
Diane Mcguire,F,632997885,2004-11-17,Freshman,School of Communication and Information,1,1,['RA' 'SA' 'MZH'],Suite,6000-8000,7000,[],35,26496,0
Teresa Hood,F,131125423,2005-08-07,Freshman,Mason Gross School of the Arts,1,1,['AH' 'RA' 'NCA'],Suite,8000-11000,10000,"[183534535, 542509172]",35,26781,0
Jared George,M,728344198,2005-01-07,Freshman,School of Arts and Sciences,1,1,['BS' 'NCA' 'BH'],Suite,4000-6000,5000,[224744243],35,27093,0
Craig Hernandez,M,172429847,2001-11-20,Freshman,School of Arts and Sciences,1,1,['BH' 'NCA' 'MS'],Suite,8000-11000,10000,[],35,27365,0
Erin Gomez,F,879220507,2002-07-11,Freshman,School of Arts and Sciences,1,1,['JS' 'BS' 'RA'],Apartment,4000-6000,5000,[169148275],35,28150,0
Savannah Fitzgerald,F,923666995,2003-11-29,Freshman,School of Arts and Sciences,1,1,['RA' 'SA' 'MH'],Suite,6000-8000,7000,"[291227259, 867086657]",35,28407,0
Andrea Harris,F,311046755,2001-07-17,Freshman,School of Arts and Sciences,1,1,['BS' 'MRS' 'MS'],Apartment,4000-6000,5000,"[163784376, 125541577]",35,29183,0
Jessica Newton,F,873591164,2001-04-28,Freshman,School of Environmental and Biological Sciences,1,1,['RA' 'NCA' 'JS'],Apartment,8000-11000,10000,"[948238483, 668497217]",35,29303,0
Jon Johnson,M,322562737,2002-11-03,Freshman,School of Communication and Information,1,1,['MS' 'JS' 'RA'],Suite,6000-8000,7000,"[887716940, 106780436]",35,29330,0
Jason Robinson,M,655511745,2000-06-08,Freshman,Rutgers Business School–Newark and New Brunswick,1,1,['MH' 'NCA' 'MZH'],Traditional Residence Hall,4000-6000,5000,[845452233],35,30198,0
Benjamin Palmer,M,499489169,2005-06-07,Freshman,School of Arts and Sciences,1,1,['BS' 'NCA' 'MZH'],Suite,8000-11000,10000,"[969032341, 355178077]",35,30416,0
Lisa Cox,F,421462888,2005-03-29,Freshman,School of Social Work,1,1,['BS' 'SA' 'RA'],Suite,4000-6000,5000,"[122082784, 316541638]",35,30751,0
Nancy Johnson,F,427707307,2005-02-25,Freshman,Rutgers Business School–Newark and New Brunswick,1,1,['SA' 'MH' 'BS'],Suite,4000-6000,5000,"[713693066, 476551417]",35,30868,0
Rebecca Nguyen,F,112859131,2000-03-27,Freshman,School of Management and Labor Relations,1,1,['NCA' 'BS' 'BH'],Suite,8000-11000,10000,[487325596],35,32960,0
Brian Hoffman DDS,M,881126715,2004-04-12,Freshman,Mason Gross School of the Arts,1,1,['MZH' 'NCA' 'SA'],Suite,4000-6000,5000,"[969925990, 304214077]",35,32963,0
William Nelson,M,934961164,2004-01-12,Freshman,School of Arts and Sciences,1,1,['NCA' 'AH' 'MRS'],Apartment,4000-6000,5000,[500248201],35,33277,0
Julie Love,F,288427367,2000-03-12,Freshman,School of Management and Labor Relations,1,1,['BS' 'RA' 'MZH'],Apartment,8000-11000,10000,[],35,34559,0
April Stephens,F,846597440,2001-02-04,Freshman,School of Management and Labor Relations,1,1,['MS' 'MH' 'SA'],Apartment,8000-11000,10000,[383048890],35,34621,0
Alexandra Davis,F,222891387,2001-03-07,Freshman,School of Engineering,1,1,['MZH' 'SA' 'MS'],Suite,8000-11000,10000,"[314555543, 939163899]",35,34962,0
Sharon Martin,F,518881608,2000-11-15,Freshman,Rutgers Business School–Newark and New Brunswick,1,1,['MS' 'NCA' 'BS'],Traditional Residence Hall,4000-6000,5000,"[483955748, 757217699]",35,35056,0
Casey Moore,F,183262783,2004-09-22,Freshman,School of Social Work,1,1,['SA' 'BS' 'JS'],Apartment,4000-6000,5000,"[366749696, 327683351]",35,35485,0
Patricia Barnes,F,610183216,1999-11-23,Freshman,School of Social Work,1,1,['NCA' 'JS' 'RA'],Apartment,4000-6000,5000,"[537527945, 803087284]",35,36075,0
Olivia Butler,F,192629323,2000-09-16,Freshman,Rutgers Business School–Newark and New Brunswick,1,1,['BS' 'NCA' 'BH'],Apartment,8000-11000,10000,[135842891],35,39780,0
Amy Gray,F,500676165,2002-09-21,Freshman,School of Arts and Sciences,1,1,['AH' 'SA' 'BS'],Traditional Residence Hall,4000-6000,5000,"[892853148, 555117496]",35,40444,0
Angela Hill,F,117719443,2002-01-18,Freshman,School of Arts and Sciences,1,1,['MS' 'RA' 'MZH'],Traditional Residence Hall,4000-6000,5000,[],35,40481,0
Lisa Walker,F,831510499,2002-11-16,Freshman,School of Arts and Sciences,1,1,['SA' 'BS' 'WS'],Suite,6000-8000,7000,"[687063688, 470088393]",35,42249,0
Veronica Ramirez,F,245448939,2004-07-31,Sophomore,School of Arts and Sciences,1,1,['CS' 'BS' 'NCA'],Traditional Residence Hall,6000-8000,7000,[],30,180,0
Miguel Bailey,M,573683323,2001-10-03,Senior,School of Arts and Sciences,1,1,['NCA' 'BS' 'MRS'],Suite,4000-6000,5000,"[582447226, 826100080]",30,260,0
Timothy Michael,M,462675756,2005-06-22,Sophomore,School of Arts and Sciences,1,1,['SA' 'NCA' 'MS'],Apartment,4000-6000,5000,"[784874186, 859955714]",30,306,0
Alyssa Roberts,F,320483532,2001-04-14,Sophomore,School of Arts and Sciences,1,1,['BS' 'RA' 'AH'],Apartment,4000-6000,5000,"[342842975, 930656588]",30,745,0
Eric Walsh,M,338465166,2003-06-06,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['JS' 'SA' 'BS'],Suite,8000-11000,10000,"[571221085, 992256043]",30,1186,0
Elizabeth Baker,F,369524970,2004-10-08,Senior,Rutgers Business School–Newark and New Brunswick,1,1,['AH' 'SA' 'BH'],Suite,4000-6000,5000,[179993705],30,1479,0
Monica Hanson,F,698550262,2003-11-15,Senior,School of Communication and Information,1,1,['MH' 'SA' 'BS'],Suite,8000-11000,10000,"[347082973, 725108310]",30,1680,0
Dana Alvarez,F,436478632,2005-07-07,Junior,School of Communication and Information,1,1,['NCA' 'BS' 'TS'],Suite,6000-8000,7000,[],30,2167,0
Karen Quinn,F,736730773,2002-02-28,Junior,School of Arts and Sciences,1,1,['RA' 'BH' 'SA'],Traditional Residence Hall,8000-11000,10000,"[285144094, 283335818]",30,3054,0
Rebecca Russo,F,627995469,2004-03-10,Junior,School of Environmental and Biological Sciences,1,1,['MS' 'BS' 'CS'],Suite,6000-8000,7000,"[233941294, 624159681]",30,4321,0
Gary Dunlap,M,180272439,2000-11-01,Sophomore,School of Environmental and Biological Sciences,1,1,['BS' 'MH' 'BH'],Traditional Residence Hall,4000-6000,5000,[666661510],30,4825,0
Kristina Simpson,F,890745606,1994-09-23,Masters,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,8000-10500,9500,[705692392],30,4885,0
Daniel Martinez,M,851624275,2003-12-12,Sophomore,School of Arts and Sciences,1,1,['BS' 'MZH' 'RA'],Suite,8000-11000,10000,[832688353],30,4979,0
Kimberly Underwood,F,386524747,1997-09-24,Masters,School of Graduate Studies,1,1,['JA' 'BA'],Apartment,8000-10500,9500,"[901768088, 896429588]",30,4999,0
Stacey Price,F,797543282,2004-09-12,Sophomore,Mason Gross School of the Arts,1,1,['SA' 'MZH' 'BS'],Suite,6000-8000,7000,[],30,5087,0
John Lowe,M,562751055,1997-08-20,Masters,School of Graduate Studies,1,1,['JA' 'BA'],Apartment,8000-10500,9500,"[989516453, 406745437]",30,5112,0
Anthony Martin,M,118442075,1994-07-03,Masters,School of Graduate Studies,1,1,['JA' 'BA'],Apartment,10500-12000,11000,[],30,5343,0
Casey Jones,M,245176761,2002-06-24,Sophomore,School of Engineering,1,1,['JS' 'RA' 'AH'],Suite,4000-6000,5000,[410368705],30,5503,0
Bobby Valencia,M,515330988,2004-04-16,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['MZH' 'NCA' 'BS'],Suite,4000-6000,5000,[362104640],30,5549,0
Sonya Cobb,F,792777649,2005-01-20,Senior,School of Arts and Sciences,1,1,['MH' 'SA' 'RA'],Suite,6000-8000,7000,[268448390],30,5991,0
Jerry Williams,M,949797271,2002-04-27,Senior,School of Environmental and Biological Sciences,1,1,['BS' 'NCA' 'MH'],Apartment,8000-11000,10000,[],30,7680,0
Ms. Rebecca Koch,F,697932565,2000-01-07,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['CS' 'MS' 'MH'],Suite,4000-6000,5000,"[803943569, 746331712]",30,7922,0
Chad Garcia,M,668720571,1997-04-21,Doctorate,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,8000-10500,9500,[],30,8196,0
Jeffrey Boyd,M,189700100,2002-05-17,Junior,School of Arts and Sciences,1,1,['SA' 'BS' 'RA'],Suite,4000-6000,5000,[274435996],30,10530,0
Jeff Bridges,M,416426854,2005-01-26,Junior,School of Arts and Sciences,1,1,['BS' 'NCA' 'MS'],Apartment,6000-8000,7000,"[944101848, 479444544]",30,10805,0
Cheyenne Cox,F,100967070,2003-12-20,Junior,School of Engineering,1,1,['SA' 'BS' 'WS'],Suite,6000-8000,7000,[],30,11355,0
Todd Chaney,M,904936757,2001-03-16,Sophomore,School of Arts and Sciences,1,1,['AH' 'MZH' 'RA'],Suite,8000-11000,10000,"[516281691, 370121261]",30,11972,0
Tonya Parker,F,110585324,2004-01-24,Junior,School of Environmental and Biological Sciences,1,1,['BS' 'CS' 'RA'],Suite,4000-6000,5000,[906034388],30,11990,0
Jake Brown,M,133574840,2001-07-12,Sophomore,School of Arts and Sciences,1,1,['RA' 'SA' 'MZH'],Suite,4000-6000,5000,[515648368],30,12211,0
Shelly Parker,F,395881185,2000-01-16,Junior,Rutgers Business School–Newark and New Brunswick,1,1,['RA' 'WS' 'MZH'],Traditional Residence Hall,4000-6000,5000,"[191269133, 956750906]",30,12219,0
Robert Norton,M,300842884,2005-07-26,Sophomore,School of Arts and Sciences,1,1,['RA' 'NCA' 'BS'],Suite,6000-8000,7000,"[778829888, 578361990]",30,12782,0
Jonathan Wilson,M,213178528,2001-12-22,Senior,School of Arts and Sciences,1,1,['NCA' 'TS' 'RA'],Traditional Residence Hall,8000-11000,10000,"[102426551, 945144475]",30,12876,0
Gerald Roberts,M,206443565,2004-11-08,Junior,School of Arts and Sciences,1,1,['WS' 'RA' 'BS'],Suite,4000-6000,5000,"[515256828, 357099246]",30,14198,0
Cory Romero,M,997072879,2003-12-03,Sophomore,School of Arts and Sciences,1,1,['SA' 'NCA' 'RA'],Apartment,4000-6000,5000,[934218518],30,14509,0
Nicholas Morales,M,882105479,2004-05-21,Senior,School of Social Work,1,1,['NCA' 'BS' 'RA'],Apartment,6000-8000,7000,[],30,14893,0
Angelica Baker,F,498936595,1999-12-20,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['MH' 'MRS' 'SA'],Suite,4000-6000,5000,"[642142382, 541350357]",30,15189,0
Sheila Smith,F,796806564,1998-07-14,Masters,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,10500-12000,11000,"[303158047, 761460177]",30,15372,0
Shane Jimenez,M,681131052,1999-12-21,Sophomore,School of Social Work,1,1,['WS' 'BS' 'MZH'],Traditional Residence Hall,8000-11000,10000,"[300305515, 737544377]",30,15873,0
Kara Williams,F,431850484,2002-01-08,Junior,School of Arts and Sciences,1,1,['CS' 'MZH' 'TS'],Suite,4000-6000,5000,"[533856705, 832808037]",30,16384,0
Emma Pierce,F,170040959,2002-04-11,Sophomore,School of Arts and Sciences,1,1,['AH' 'JS' 'BS'],Suite,4000-6000,5000,[352913141],30,16401,0
David Valdez,M,302767160,2000-07-11,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['SA' 'MH' 'MS'],Suite,6000-8000,7000,[826895646],30,16778,0
Russell Myers,M,912675600,1994-08-18,Masters,Graduate School of Education,1,1,['BA' 'JA'],Apartment,8000-10500,9500,"[567318144, 855743068]",30,17178,0
Kimberly Brown,F,595568354,1999-10-22,Sophomore,School of Communication and Information,1,1,['BS' 'SA' 'MH'],Traditional Residence Hall,4000-6000,5000,[],30,17697,0
Henry Snyder,M,916091970,2004-05-28,Junior,School of Social Work,1,1,['RA' 'TS' 'SA'],Suite,8000-11000,10000,"[193158145, 479634458]",30,18234,0
Benjamin Grant,M,388686618,2000-06-15,Junior,School of Social Work,1,1,['SA' 'BS' 'NCA'],Apartment,4000-6000,5000,"[388250471, 451275328]",30,18562,0
Peter Jenkins,M,884856753,2002-01-12,Junior,School of Management and Labor Relations,1,1,['NCA' 'WS' 'TS'],Traditional Residence Hall,4000-6000,5000,[],30,18899,0
Brett Stevens,M,424545369,2005-05-18,Senior,School of Arts and Sciences,1,1,['RA' 'BS' 'NCA'],Suite,6000-8000,7000,"[647429842, 962027848]",30,19890,0
Sherry Griffith,F,286679248,2001-04-04,Junior,School of Arts and Sciences,1,1,['MZH' 'BS' 'SA'],Apartment,4000-6000,5000,[406315187],30,19937,0
Marie Hicks,F,832015925,2004-04-20,Senior,School of Arts and Sciences,1,1,['JS' 'CS' 'MRS'],Suite,8000-11000,10000,[],30,20550,0
Connie Ryan,F,898137882,2004-09-25,Junior,School of Arts and Sciences,1,1,['SA' 'RA' 'MZH'],Suite,4000-6000,5000,[],30,20979,0
John David,M,706207019,2003-01-16,Junior,School of Arts and Sciences,1,1,['CS' 'BS' 'MS'],Apartment,8000-11000,10000,[],30,21431,0
Jason Dean,M,378427340,2003-10-13,Junior,School of Arts and Sciences,1,1,['BH' 'MS' 'AH'],Apartment,6000-8000,7000,[],30,21452,0
Zachary Walker,M,786574426,2005-05-27,Sophomore,School of Arts and Sciences,1,1,['MS' 'BS' 'TS'],Apartment,8000-11000,10000,"[344641763, 267655387]",30,21542,0
Frank Berry,M,114730323,2005-07-29,Junior,Rutgers Business School–Newark and New Brunswick,1,1,['RA' 'BS' 'MZH'],Suite,8000-11000,10000,[461439507],30,21692,0
Austin Kim,M,164758435,2002-12-31,Sophomore,School of Communication and Information,1,1,['SA' 'BH' 'BS'],Suite,8000-11000,10000,"[297084089, 417864489]",30,22125,0
David Mann,M,723055877,2005-02-24,Junior,Rutgers Business School–Newark and New Brunswick,1,1,['BS' 'SA' 'BH'],Suite,4000-6000,5000,[],30,22765,0
Laurie Woods,F,186706365,2005-07-29,Junior,School of Social Work,1,1,['WS' 'MS' 'JS'],Suite,8000-11000,10000,"[217214658, 876568302]",30,22806,0
Robert Stewart,M,745898400,2000-03-05,Senior,School of Arts and Sciences,1,1,['NCA' 'BS' 'SA'],Suite,8000-11000,10000,"[691391491, 886663842]",30,23416,0
James Nelson,M,841904446,2002-06-03,Sophomore,School of Communication and Information,1,1,['MRS' 'RA' 'MH'],Suite,8000-11000,10000,[],30,23431,0
Natasha Nelson,F,601928903,2004-01-07,Sophomore,Mason Gross School of the Arts,1,1,['BS' 'MRS' 'NCA'],Suite,4000-6000,5000,"[191607445, 211972183]",30,23537,0
Samantha Hanson,F,406745437,1996-12-11,Masters,Graduate School of Applied and Professional Psychology,1,1,['BA' 'JA'],Apartment,8000-10500,9500,[989516453],30,23557,0
Jennifer Lopez,F,463767330,2004-12-20,Senior,School of Social Work,1,1,['MH' 'BS' 'AH'],Suite,6000-8000,7000,"[654013352, 172336765]",30,24222,0
Melissa Bean,F,439431871,2001-12-08,Sophomore,Mason Gross School of the Arts,1,1,['AH' 'JS' 'BH'],Suite,4000-6000,5000,"[146487297, 216408127]",30,24475,0
Brandon Miller,M,431015785,2002-11-20,Sophomore,Mason Gross School of the Arts,1,1,['BS' 'MRS' 'MH'],Traditional Residence Hall,4000-6000,5000,"[778383633, 263155037]",30,24499,0
Mark Lopez,M,817682018,2003-06-13,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['BH' 'MS' 'MZH'],Suite,6000-8000,7000,"[550479813, 983838713]",30,24542,0
Thomas Williams,M,819748081,1993-12-14,Masters,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,8000-10500,9500,"[494266332, 991556050]",30,24804,0
Larry Hickman,M,312669093,2000-07-22,Masters,Graduate School of Education,1,1,['BA' 'JA'],Apartment,10500-12000,11000,[],30,25088,0
Betty Williams,F,953891067,2000-09-15,Junior,School of Management and Labor Relations,1,1,['TS' 'SA' 'NCA'],Suite,8000-11000,10000,"[741271191, 964890852]",30,25474,0
Juan Lopez,M,667017903,2002-05-31,Sophomore,School of Arts and Sciences,1,1,['BS' 'NCA' 'BH'],Apartment,4000-6000,5000,[],30,25658,0
Katie Dennis,F,456583598,2002-01-24,Sophomore,School of Arts and Sciences,1,1,['BS' 'JS' 'NCA'],Suite,8000-11000,10000,[738802738],30,25774,0
Carl Schroeder,M,344473633,2002-11-23,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['AH' 'NCA' 'BS'],Suite,4000-6000,5000,"[565115391, 555747424]",30,26149,0
Lynn Santos,F,142139762,2001-03-30,Sophomore,Mason Gross School of the Arts,1,1,['NCA' 'BS' 'SA'],Traditional Residence Hall,4000-6000,5000,[730984860],30,26637,0
Lori Villanueva,F,473841916,1993-12-22,Masters,Graduate School of Education,1,1,['JA' 'BA'],Apartment,10500-12000,11000,[],30,27340,0
Ian Salazar,M,723091817,2004-03-04,Sophomore,School of Management and Labor Relations,1,1,['BS' 'JS' 'BH'],Traditional Residence Hall,4000-6000,5000,"[319036535, 135955722]",30,27847,0
Chelsey Burch,F,515993453,2000-02-22,Junior,School of Social Work,1,1,['MRS' 'NCA' 'TS'],Suite,4000-6000,5000,[],30,28060,0
Rebecca Smith,F,706974361,2001-05-06,Junior,School of Arts and Sciences,1,1,['BS' 'NCA' 'JS'],Apartment,4000-6000,5000,"[486786865, 601237594]",30,28116,0
Albert Zimmerman,M,177484257,2000-10-04,Sophomore,Mason Gross School of the Arts,1,1,['RA' 'NCA' 'SA'],Suite,8000-11000,10000,[],30,28156,0
Anne Evans,F,860024630,2001-09-03,Sophomore,School of Arts and Sciences,1,1,['JS' 'RA' 'TS'],Apartment,4000-6000,5000,"[345681328, 415954148]",30,28420,0
Jose Dickerson,M,282145386,2000-12-28,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['RA' 'BS' 'JS'],Suite,4000-6000,5000,"[988840910, 759603112]",30,28547,0
Desiree Baker,F,492248445,2000-04-26,Sophomore,School of Management and Labor Relations,1,1,['SA' 'WS' 'TS'],Traditional Residence Hall,4000-6000,5000,[406534581],30,28741,0
Kelly Adams,F,209352492,2001-04-01,Junior,Rutgers Business School–Newark and New Brunswick,1,1,['RA' 'NCA' 'JS'],Suite,8000-11000,10000,"[688137009, 481332853]",30,29668,0
Benjamin Beck,M,453505538,2000-12-21,Junior,School of Arts and Sciences,1,1,['BS' 'JS' 'CS'],Apartment,4000-6000,5000,[262808670],30,29836,0
Michael Perez,M,161309321,2002-08-18,Junior,School of Social Work,1,1,['SA' 'JS' 'BS'],Traditional Residence Hall,6000-8000,7000,[645746950],30,30286,0
Michael Schwartz,M,526684425,2004-04-25,Sophomore,Mason Gross School of the Arts,1,1,['MS' 'MH' 'JS'],Apartment,4000-6000,5000,[],30,30388,0
Sierra Ross,F,285422354,2002-04-15,Senior,School of Arts and Sciences,1,1,['NCA' 'BH' 'SA'],Traditional Residence Hall,8000-11000,10000,"[803228571, 379654239]",30,30403,0
Matthew Anderson,M,745805171,1998-04-24,Masters,School of Graduate Studies,1,1,['JA' 'BA'],Apartment,10500-12000,11000,[917712975],30,30882,0
Holly Nguyen,F,952139753,2004-03-20,Sophomore,School of Arts and Sciences,1,1,['MS' 'RA' 'SA'],Suite,4000-6000,5000,[713551261],30,31083,0
Kirk Williams,M,262618975,2000-09-04,Doctorate,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,10500-12000,11000,"[796482662, 613412016]",30,31558,0
John Estes,M,438472901,2003-12-10,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['BS' 'NCA' 'MS'],Apartment,8000-11000,10000,"[370053371, 758358863]",30,31853,0
Michael Wall,M,903907701,1995-05-14,Masters,Graduate School of Education,1,1,['BA' 'JA'],Apartment,8000-10500,9500,"[627614620, 516473350]",30,32212,0
Ruben Good,M,610805192,2002-07-22,Sophomore,School of Arts and Sciences,1,1,['BS' 'JS' 'RA'],Suite,4000-6000,5000,"[322943535, 598129220]",30,32724,0
Denise Christensen,F,944823081,2002-04-06,Senior,School of Social Work,1,1,['RA' 'TS' 'JS'],Suite,4000-6000,5000,"[145076558, 565003158]",30,33828,0
