name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,preferred_price_range,max_price,roommate_preferences,weights,lottery_number,assigned
Rhonda Garcia,F,140003907,2003-08-24,Freshman,School of Arts and Sciences,1,1,['SA' 'NCA' 'BS'],Suite,6000-8000,7000,"[965800237, 315594960]",35,14270,0
Eric Newton,M,370808798,2001-08-20,Freshman,School of Arts and Sciences,1,1,['SA' 'CS' 'BS'],Suite,4000-6000,5000,[573698372],35,14903,0
Timothy Moore,M,771865686,2002-03-23,Freshman,School of Communication and Information,1,1,['WS' 'AH' 'BS'],Suite,6000-8000,7000,"[235442758, 366536272]",35,15051,0
James Martin,M,692225359,2000-05-24,Freshman,School of Arts and Sciences,1,1,['MRS' 'SA' 'BS'],Suite,4000-6000,5000,"[494246013, 344112668]",35,15373,0
William Nelson,M,934961164,2004-01-12,Freshman,School of Arts and Sciences,1,1,['NCA' 'AH' 'MRS'],Apartment,4000-6000,5000,[500248201],35,15939,0
Madeline Camacho,F,366261417,2003-01-22,Freshman,School of Management and Labor Relations,1,1,['BS' 'CS' 'MZH'],Apartment,6000-8000,7000,[],35,16383,0
Lisa Walker,F,831510499,2002-11-16,Freshman,School of Arts and Sciences,1,1,['SA' 'BS' 'WS'],Suite,6000-8000,7000,"[687063688, 470088393]",35,16790,0
Rebecca Nguyen,F,112859131,2000-03-27,Freshman,School of Management and Labor Relations,1,1,['NCA' 'BS' 'BH'],Suite,8000-11000,10000,[487325596],35,17645,0
Patricia Lee,F,795454595,2004-12-16,Freshman,School of Arts and Sciences,1,1,['NCA' 'BS' 'JS'],Suite,4000-6000,5000,"[555016423, 154722229]",35,17991,0
Alexandra Davis,F,222891387,2001-03-07,Freshman,School of Engineering,1,1,['MZH' 'SA' 'MS'],Suite,8000-11000,10000,"[314555543, 939163899]",35,18300,0
Casey Moore,F,183262783,2004-09-22,Freshman,School of Social Work,1,1,['SA' 'BS' 'JS'],Apartment,4000-6000,5000,"[366749696, 327683351]",35,18599,0
Brandy Barron,F,712720272,2002-01-23,Freshman,School of Arts and Sciences,1,1,['MRS' 'JS' 'AH'],Suite,4000-6000,5000,"[333226584, 629694106]",35,18703,0
Julia Williams,F,219170583,2001-05-20,Freshman,School of Environmental and Biological Sciences,1,1,['BS' 'SA' 'JS'],Suite,6000-8000,7000,"[318471971, 256769107]",35,18939,0
Dana Newton,F,157740697,2000-11-15,Freshman,School of Arts and Sciences,1,1,['NCA' 'MH' 'CS'],Traditional Residence Hall,4000-6000,5000,[968624638],35,19092,0
Teresa Hood,F,131125423,2005-08-07,Freshman,Mason Gross School of the Arts,1,1,['AH' 'RA' 'NCA'],Suite,8000-11000,10000,"[183534535, 542509172]",35,19279,0
Benjamin Palmer,M,499489169,2005-06-07,Freshman,School of Arts and Sciences,1,1,['BS' 'NCA' 'MZH'],Suite,8000-11000,10000,"[969032341, 355178077]",35,19426,0
Alexander Mooney,M,173819064,2001-10-01,Freshman,School of Management and Labor Relations,1,1,['WS' 'MS' 'NCA'],Apartment,4000-6000,5000,"[841841635, 583295035]",35,20214,0
Bradley Peck,M,158185009,2002-01-07,Freshman,Mason Gross School of the Arts,1,1,['BS' 'RA' 'WS'],Apartment,4000-6000,5000,"[536413979, 843673543]",35,20674,0
April Stephens,F,846597440,2001-02-04,Freshman,School of Management and Labor Relations,1,1,['MS' 'MH' 'SA'],Apartment,8000-11000,10000,[383048890],35,21321,0
Sharon Martin,F,518881608,2000-11-15,Freshman,Rutgers Business School–Newark and New Brunswick,1,1,['MS' 'NCA' 'BS'],Traditional Residence Hall,4000-6000,5000,"[483955748, 757217699]",35,22377,0
Olivia Butler,F,192629323,2000-09-16,Freshman,Rutgers Business School–Newark and New Brunswick,1,1,['BS' 'NCA' 'BH'],Apartment,8000-11000,10000,[135842891],35,22410,0
Jason Robinson,M,655511745,2000-06-08,Freshman,Rutgers Business School–Newark and New Brunswick,1,1,['MH' 'NCA' 'MZH'],Traditional Residence Hall,4000-6000,5000,[845452233],35,22618,0
Carol Brown,F,719631263,2005-07-14,Freshman,School of Arts and Sciences,1,1,['SA' 'NCA' 'CS'],Apartment,4000-6000,5000,"[498712421, 808006713]",35,23552,0
Alyssa Harper,F,105741775,2003-06-18,Freshman,Mason Gross School of the Arts,1,1,['RA' 'SA' 'BS'],Apartment,4000-6000,5000,[522213041],35,25297,0
Sherri Smith,F,551852886,2002-03-17,Freshman,Mason Gross School of the Arts,1,1,['SA' 'MS' 'RA'],Suite,8000-11000,10000,"[480711494, 552247231]",35,25410,0
Heather Greene,F,910602632,2002-10-23,Freshman,School of Communication and Information,1,1,['MZH' 'AH' 'BS'],Suite,8000-11000,10000,[],35,26336,0
Elizabeth Crawford,F,992416681,2000-05-26,Freshman,School of Arts and Sciences,1,1,['TS' 'RA' 'NCA'],Suite,4000-6000,5000,"[231932467, 498336087]",35,26381,0
Mason Carter,M,975350048,2001-08-22,Freshman,School of Arts and Sciences,1,1,['MS' 'RA' 'BS'],Apartment,8000-11000,10000,"[748396203, 946717419]",35,27419,0
Brian Hoffman DDS,M,881126715,2004-04-12,Freshman,Mason Gross School of the Arts,1,1,['MZH' 'NCA' 'SA'],Suite,4000-6000,5000,"[969925990, 304214077]",35,28285,0
Jennifer Miller,F,636628235,2005-03-20,Freshman,School of Arts and Sciences,1,1,['BH' 'SA' 'MRS'],Suite,8000-11000,10000,[196779893],35,28394,0
Courtney Bradley,F,110826757,2002-04-09,Freshman,School of Communication and Information,1,1,['SA' 'MRS' 'MS'],Suite,6000-8000,7000,"[215309780, 998514031]",35,28518,0
Patricia Barnes,F,610183216,1999-11-23,Freshman,School of Social Work,1,1,['NCA' 'JS' 'RA'],Apartment,4000-6000,5000,"[537527945, 803087284]",35,28527,0
Johnny White,M,404167352,2002-07-24,Freshman,Rutgers Business School–Newark and New Brunswick,1,1,['BS' 'SA' 'WS'],Apartment,8000-11000,10000,"[959703622, 432525701]",35,28919,0
Thomas Daniels,M,515074443,1999-11-08,Freshman,School of Communication and Information,1,1,['SA' 'NCA' 'BS'],Suite,4000-6000,5000,"[764785350, 322786474]",35,30198,0
Savannah Fitzgerald,F,923666995,2003-11-29,Freshman,School of Arts and Sciences,1,1,['RA' 'SA' 'MH'],Suite,6000-8000,7000,"[291227259, 867086657]",35,31291,0
Shelly Miller,F,215980676,2001-04-15,Freshman,School of Social Work,1,1,['NCA' 'BS' 'MH'],Traditional Residence Hall,4000-6000,5000,[978217050],35,31550,0
Lauren Miller,F,269968504,2003-07-27,Freshman,School of Arts and Sciences,1,1,['TS' 'WS' 'BS'],Apartment,8000-11000,10000,"[429623275, 736088677]",35,31869,0
Marc Brown,M,814916376,2003-04-01,Freshman,School of Management and Labor Relations,1,1,['AH' 'SA' 'MRS'],Suite,4000-6000,5000,"[140546975, 147201305]",35,33793,0
Jennifer Moody,F,729888000,2002-11-04,Freshman,School of Engineering,1,1,['SA' 'MH' 'BS'],Traditional Residence Hall,4000-6000,5000,[691915334],35,33850,0
Jon Johnson,M,322562737,2002-11-03,Freshman,School of Communication and Information,1,1,['MS' 'JS' 'RA'],Suite,6000-8000,7000,"[887716940, 106780436]",35,34070,0
Erin Gomez,F,879220507,2002-07-11,Freshman,School of Arts and Sciences,1,1,['JS' 'BS' 'RA'],Apartment,4000-6000,5000,[169148275],35,35302,0
Angela Hill,F,117719443,2002-01-18,Freshman,School of Arts and Sciences,1,1,['MS' 'RA' 'MZH'],Traditional Residence Hall,4000-6000,5000,[],35,36590,0
Nicholas Vaughn,M,663676576,2004-06-05,Freshman,Mason Gross School of the Arts,1,1,['MH' 'BS' 'MZH'],Suite,6000-8000,7000,[645261381],35,36755,0
Russell Floyd,M,117525509,2004-01-02,Freshman,School of Arts and Sciences,1,1,['JS' 'MS' 'NCA'],Suite,8000-11000,10000,[955956086],35,37584,0
Lisa Cox,F,421462888,2005-03-29,Freshman,School of Social Work,1,1,['BS' 'SA' 'RA'],Suite,4000-6000,5000,"[122082784, 316541638]",35,37868,0
Christina Green,F,576756487,2003-09-28,Freshman,School of Arts and Sciences,1,1,['MS' 'NCA' 'WS'],Apartment,8000-11000,10000,"[174291998, 860571201]",35,38033,0
Julie Love,F,288427367,2000-03-12,Freshman,School of Management and Labor Relations,1,1,['BS' 'RA' 'MZH'],Apartment,8000-11000,10000,[],35,38196,0
Ellen Newton,F,436117745,2001-04-20,Freshman,School of Arts and Sciences,1,1,['BS' 'NCA' 'MZH'],Apartment,4000-6000,5000,"[286763636, 117749596]",35,38665,0
Jared George,M,728344198,2005-01-07,Freshman,School of Arts and Sciences,1,1,['BS' 'NCA' 'BH'],Suite,4000-6000,5000,[224744243],35,39290,0
Craig Hernandez,M,172429847,2001-11-20,Freshman,School of Arts and Sciences,1,1,['BH' 'NCA' 'MS'],Suite,8000-11000,10000,[],35,40317,0
Darren Davis,M,386962291,2002-08-21,Freshman,School of Arts and Sciences,1,1,['BS' 'WS' 'NCA'],Suite,8000-11000,10000,"[285634028, 759734771]",35,41702,0
Holly Rowe,F,407989608,2002-12-17,Freshman,School of Management and Labor Relations,1,1,['SA' 'MS' 'MZH'],Apartment,4000-6000,5000,"[466688989, 918585317]",35,41840,0
Elizabeth Baker,F,369524970,2004-10-08,Senior,Rutgers Business School–Newark and New Brunswick,1,1,['AH' 'SA' 'BH'],Suite,4000-6000,5000,[179993705],30,585,0
Amanda Keller,F,116909959,2003-04-30,Sophomore,School of Arts and Sciences,1,1,['SA' 'MZH' 'BS'],Apartment,4000-6000,5000,[],30,922,0
Anne Evans,F,860024630,2001-09-03,Sophomore,School of Arts and Sciences,1,1,['JS' 'RA' 'TS'],Apartment,4000-6000,5000,"[345681328, 415954148]",30,953,0
Katie Perkins,F,153822188,2001-07-30,Sophomore,School of Social Work,1,1,['SA' 'MH' 'WS'],Apartment,4000-6000,5000,[],30,2346,0
Denise Christensen,F,944823081,2002-04-06,Senior,School of Social Work,1,1,['RA' 'TS' 'JS'],Suite,4000-6000,5000,"[145076558, 565003158]",30,2401,0
John Lowe,M,562751055,1997-08-20,Masters,School of Graduate Studies,1,1,['JA' 'BA'],Apartment,8000-10500,9500,"[989516453, 406745437]",30,2626,0
Cheyenne Cox,F,100967070,2003-12-20,Junior,School of Engineering,1,1,['SA' 'BS' 'WS'],Suite,6000-8000,7000,[],30,2661,0
Benjamin Grant,M,388686618,2000-06-15,Junior,School of Social Work,1,1,['SA' 'BS' 'NCA'],Apartment,4000-6000,5000,"[388250471, 451275328]",30,3845,0
Robert Norton,M,300842884,2005-07-26,Sophomore,School of Arts and Sciences,1,1,['RA' 'NCA' 'BS'],Suite,6000-8000,7000,"[778829888, 578361990]",30,4147,0
Holly Nguyen,F,952139753,2004-03-20,Sophomore,School of Arts and Sciences,1,1,['MS' 'RA' 'SA'],Suite,4000-6000,5000,[713551261],30,4160,0
Stacey Price,F,797543282,2004-09-12,Sophomore,Mason Gross School of the Arts,1,1,['SA' 'MZH' 'BS'],Suite,6000-8000,7000,[],30,4917,0
Jerry Williams,M,949797271,2002-04-27,Senior,School of Environmental and Biological Sciences,1,1,['BS' 'NCA' 'MH'],Apartment,8000-11000,10000,[],30,5017,0
Ms. Rebecca Koch,F,697932565,2000-01-07,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['CS' 'MS' 'MH'],Suite,4000-6000,5000,"[803943569, 746331712]",30,5529,0
Natasha Nelson,F,601928903,2004-01-07,Sophomore,Mason Gross School of the Arts,1,1,['BS' 'MRS' 'NCA'],Suite,4000-6000,5000,"[191607445, 211972183]",30,5556,0
Chelsey Bowers,F,194420592,2005-03-30,Sophomore,Mason Gross School of the Arts,1,1,['WS' 'BS' 'RA'],Suite,4000-6000,5000,"[378383800, 672200995]",30,5861,0
Kristina Simpson,F,890745606,1994-09-23,Masters,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,8000-10500,9500,[705692392],30,6119,0
David Mann,M,723055877,2005-02-24,Junior,Rutgers Business School–Newark and New Brunswick,1,1,['BS' 'SA' 'BH'],Suite,4000-6000,5000,[],30,6318,0
Mike Garcia,M,478481550,2004-11-29,Senior,School of Engineering,1,1,['BS' 'SA' 'BH'],Traditional Residence Hall,4000-6000,5000,"[764764017, 241830555]",30,6385,0
Jason Dean,M,378427340,2003-10-13,Junior,School of Arts and Sciences,1,1,['BH' 'MS' 'AH'],Apartment,6000-8000,7000,[],30,6418,0
Karen Shaw,F,672388899,2002-11-15,Junior,School of Arts and Sciences,1,1,['MH' 'TS' 'BS'],Suite,4000-6000,5000,"[681972680, 333600241]",30,7354,0
Emma Pierce,F,170040959,2002-04-11,Sophomore,School of Arts and Sciences,1,1,['AH' 'JS' 'BS'],Suite,4000-6000,5000,[352913141],30,7745,0
Megan Simpson,F,616274097,2004-07-16,Sophomore,School of Arts and Sciences,1,1,['MZH' 'NCA' 'BS'],Suite,4000-6000,5000,[],30,7934,0
Kirk Williams,M,262618975,2000-09-04,Doctorate,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,10500-12000,11000,"[796482662, 613412016]",30,8236,0
Sherry Griffith,F,286679248,2001-04-04,Junior,School of Arts and Sciences,1,1,['MZH' 'BS' 'SA'],Apartment,4000-6000,5000,[406315187],30,9468,0
Melissa Bean,F,439431871,2001-12-08,Sophomore,Mason Gross School of the Arts,1,1,['AH' 'JS' 'BH'],Suite,4000-6000,5000,"[146487297, 216408127]",30,9537,0
Betty Williams,F,953891067,2000-09-15,Junior,School of Management and Labor Relations,1,1,['TS' 'SA' 'NCA'],Suite,8000-11000,10000,"[741271191, 964890852]",30,9996,0
Timothy Michael,M,462675756,2005-06-22,Sophomore,School of Arts and Sciences,1,1,['SA' 'NCA' 'MS'],Apartment,4000-6000,5000,"[784874186, 859955714]",30,10116,0
Juan Lopez,M,667017903,2002-05-31,Sophomore,School of Arts and Sciences,1,1,['BS' 'NCA' 'BH'],Apartment,4000-6000,5000,[],30,10177,0
Carl Schroeder,M,344473633,2002-11-23,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['AH' 'NCA' 'BS'],Suite,4000-6000,5000,"[565115391, 555747424]",30,10675,0
Wendy Brooks,F,188713074,2005-05-17,Sophomore,Edward J. Bloustein School of Planning and Public Policy,1,1,['BS' 'MS' 'SA'],Suite,4000-6000,5000,"[281783593, 720078891]",30,10979,0
Miguel Bailey,M,573683323,2001-10-03,Senior,School of Arts and Sciences,1,1,['NCA' 'BS' 'MRS'],Suite,4000-6000,5000,"[582447226, 826100080]",30,11050,0
Veronica Ramirez,F,245448939,2004-07-31,Sophomore,School of Arts and Sciences,1,1,['CS' 'BS' 'NCA'],Traditional Residence Hall,6000-8000,7000,[],30,11372,0
Laurie Woods,F,186706365,2005-07-29,Junior,School of Social Work,1,1,['WS' 'MS' 'JS'],Suite,8000-11000,10000,"[217214658, 876568302]",30,11966,0
Albert Zimmerman,M,177484257,2000-10-04,Sophomore,Mason Gross School of the Arts,1,1,['RA' 'NCA' 'SA'],Suite,8000-11000,10000,[],30,12551,0
Alyssa Cook,F,591643274,2000-10-16,Junior,School of Arts and Sciences,1,1,['BS' 'BH' 'TS'],Apartment,4000-6000,5000,"[201968457, 655333454]",30,12709,0
Laura Silva DDS,F,883459565,2001-10-16,Junior,Rutgers Business School–Newark and New Brunswick,1,1,['BS' 'SA' 'CS'],Suite,6000-8000,7000,[],30,12870,0
Lynn Santos,F,142139762,2001-03-30,Sophomore,Mason Gross School of the Arts,1,1,['NCA' 'BS' 'SA'],Traditional Residence Hall,4000-6000,5000,[730984860],30,13447,0
John David,M,706207019,2003-01-16,Junior,School of Arts and Sciences,1,1,['CS' 'BS' 'MS'],Apartment,8000-11000,10000,[],30,13472,0
Benjamin Beck,M,453505538,2000-12-21,Junior,School of Arts and Sciences,1,1,['BS' 'JS' 'CS'],Apartment,4000-6000,5000,[262808670],30,14073,0
Alisha Miller,F,905734673,2003-02-28,Senior,School of Arts and Sciences,1,1,['BS' 'RA' 'MS'],Apartment,4000-6000,5000,[],30,14248,0
Matthew Anderson,M,745805171,1998-04-24,Masters,School of Graduate Studies,1,1,['JA' 'BA'],Apartment,10500-12000,11000,[917712975],30,14317,0
Karen Hayes,F,340648202,2002-06-05,Junior,Rutgers Business School–Newark and New Brunswick,1,1,['NCA' 'BS' 'BH'],Suite,8000-11000,10000,"[538727156, 850364409]",30,14480,0
Robert Silva,M,474259550,1997-12-04,Masters,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,10500-12000,11000,"[558892882, 457909682]",30,14749,0
Desiree Baker,F,492248445,2000-04-26,Sophomore,School of Management and Labor Relations,1,1,['SA' 'WS' 'TS'],Traditional Residence Hall,4000-6000,5000,[406534581],30,15371,0
Peter Jenkins,M,884856753,2002-01-12,Junior,School of Management and Labor Relations,1,1,['NCA' 'WS' 'TS'],Traditional Residence Hall,4000-6000,5000,[],30,16289,0
Karen Quinn,F,736730773,2002-02-28,Junior,School of Arts and Sciences,1,1,['RA' 'BH' 'SA'],Traditional Residence Hall,8000-11000,10000,"[285144094, 283335818]",30,17433,0
Anthony Martin,M,118442075,1994-07-03,Masters,School of Graduate Studies,1,1,['JA' 'BA'],Apartment,10500-12000,11000,[],30,17520,0
Marie Hicks,F,832015925,2004-04-20,Senior,School of Arts and Sciences,1,1,['JS' 'CS' 'MRS'],Suite,8000-11000,10000,[],30,17789,0
Zachary Walker,M,786574426,2005-05-27,Sophomore,School of Arts and Sciences,1,1,['MS' 'BS' 'TS'],Apartment,8000-11000,10000,"[344641763, 267655387]",30,17922,0
Michael Wall,M,903907701,1995-05-14,Masters,Graduate School of Education,1,1,['BA' 'JA'],Apartment,8000-10500,9500,"[627614620, 516473350]",30,18528,0
Alyssa Roberts,F,320483532,2001-04-14,Sophomore,School of Arts and Sciences,1,1,['BS' 'RA' 'AH'],Apartment,4000-6000,5000,"[342842975, 930656588]",30,18665,0
Jeff Bridges,M,416426854,2005-01-26,Junior,School of Arts and Sciences,1,1,['BS' 'NCA' 'MS'],Apartment,6000-8000,7000,"[944101848, 479444544]",30,18902,0
Chelsey Burch,F,515993453,2000-02-22,Junior,School of Social Work,1,1,['MRS' 'NCA' 'TS'],Suite,4000-6000,5000,[],30,19697,0
Sheila Smith,F,796806564,1998-07-14,Masters,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,10500-12000,11000,"[303158047, 761460177]",30,20021,0
Nicholas Morales,M,882105479,2004-05-21,Senior,School of Social Work,1,1,['NCA' 'BS' 'RA'],Apartment,6000-8000,7000,[],30,20358,0
Gerald Roberts,M,206443565,2004-11-08,Junior,School of Arts and Sciences,1,1,['WS' 'RA' 'BS'],Suite,4000-6000,5000,"[515256828, 357099246]",30,20866,0
Monica Hanson,F,698550262,2003-11-15,Senior,School of Communication and Information,1,1,['MH' 'SA' 'BS'],Suite,8000-11000,10000,"[347082973, 725108310]",30,21655,0
Brittany Hoover,F,681359606,2002-03-14,Junior,School of Arts and Sciences,1,1,['SA' 'TS' 'JS'],Apartment,8000-11000,10000,[486275157],30,21782,0
David Valdez,M,302767160,2000-07-11,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['SA' 'MH' 'MS'],Suite,6000-8000,7000,[826895646],30,22314,0
Samantha Hanson,F,406745437,1996-12-11,Masters,Graduate School of Applied and Professional Psychology,1,1,['BA' 'JA'],Apartment,8000-10500,9500,[989516453],30,22519,0
Henry Snyder,M,916091970,2004-05-28,Junior,School of Social Work,1,1,['RA' 'TS' 'SA'],Suite,8000-11000,10000,"[193158145, 479634458]",30,23102,0
Eric Walsh,M,338465166,2003-06-06,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['JS' 'SA' 'BS'],Suite,8000-11000,10000,"[571221085, 992256043]",30,23533,0
Rebecca Smith,F,706974361,2001-05-06,Junior,School of Arts and Sciences,1,1,['BS' 'NCA' 'JS'],Apartment,4000-6000,5000,"[486786865, 601237594]",30,24498,0
Tonya Parker,F,110585324,2004-01-24,Junior,School of Environmental and Biological Sciences,1,1,['BS' 'CS' 'RA'],Suite,4000-6000,5000,[906034388],30,24714,0
Jake Brown,M,133574840,2001-07-12,Sophomore,School of Arts and Sciences,1,1,['RA' 'SA' 'MZH'],Suite,4000-6000,5000,[515648368],30,24912,0
Dr. Kayla Harris,F,977251658,1998-02-10,Masters,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,8000-10500,9500,"[127511254, 641526837]",30,25828,0
Victoria Harris,F,327230181,2002-01-05,Junior,School of Arts and Sciences,1,1,['SA' 'TS' 'BS'],Traditional Residence Hall,8000-11000,10000,[814759478],30,26308,0
James Curtis,M,910020139,2003-04-27,Senior,School of Arts and Sciences,1,1,['BH' 'SA' 'RA'],Apartment,8000-11000,10000,"[791346929, 133402355]",30,26955,0
Kimberly Underwood,F,386524747,1997-09-24,Masters,School of Graduate Studies,1,1,['JA' 'BA'],Apartment,8000-10500,9500,"[901768088, 896429588]",30,27324,0
Sonya Cobb,F,792777649,2005-01-20,Senior,School of Arts and Sciences,1,1,['MH' 'SA' 'RA'],Suite,6000-8000,7000,[268448390],30,27540,0
Cesar Strickland,M,274363708,2000-02-27,Senior,School of Arts and Sciences,1,1,['RA' 'MRS' 'TS'],Traditional Residence Hall,4000-6000,5000,[],30,29151,0
John Estes,M,438472901,2003-12-10,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['BS' 'NCA' 'MS'],Apartment,8000-11000,10000,"[370053371, 758358863]",30,30355,0
Angelica Baker,F,498936595,1999-12-20,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['MH' 'MRS' 'SA'],Suite,4000-6000,5000,"[642142382, 541350357]",30,30401,0
James Velasquez,M,679617778,2000-05-29,Junior,School of Arts and Sciences,1,1,['MS' 'MH' 'SA'],Suite,8000-11000,10000,[],30,30483,0
Mark Lopez,M,817682018,2003-06-13,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['BH' 'MS' 'MZH'],Suite,6000-8000,7000,"[550479813, 983838713]",30,30681,0
Kelly Adams,F,209352492,2001-04-01,Junior,Rutgers Business School–Newark and New Brunswick,1,1,['RA' 'NCA' 'JS'],Suite,8000-11000,10000,"[688137009, 481332853]",30,30814,0
Ruben Good,M,610805192,2002-07-22,Sophomore,School of Arts and Sciences,1,1,['BS' 'JS' 'RA'],Suite,4000-6000,5000,"[322943535, 598129220]",30,30948,0
Rebecca Russo,F,627995469,2004-03-10,Junior,School of Environmental and Biological Sciences,1,1,['MS' 'BS' 'CS'],Suite,6000-8000,7000,"[233941294, 624159681]",30,30957,0
James Nelson,M,841904446,2002-06-03,Sophomore,School of Communication and Information,1,1,['MRS' 'RA' 'MH'],Suite,8000-11000,10000,[],30,31567,0
Thomas Williams,M,819748081,1993-12-14,Masters,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,8000-10500,9500,"[494266332, 991556050]",30,32517,0
Dana Alvarez,F,436478632,2005-07-07,Junior,School of Communication and Information,1,1,['NCA' 'BS' 'TS'],Suite,6000-8000,7000,[],30,32784,0
Leonard Patton,M,724454371,2003-09-24,Senior,School of Arts and Sciences,1,1,['AH' 'CS' 'RA'],Apartment,8000-11000,10000,[556876019],30,33530,0
Daniel Martinez,M,851624275,2003-12-12,Sophomore,School of Arts and Sciences,1,1,['BS' 'MZH' 'RA'],Suite,8000-11000,10000,[832688353],30,33599,0
Jennifer Lopez,F,463767330,2004-12-20,Senior,School of Social Work,1,1,['MH' 'BS' 'AH'],Suite,6000-8000,7000,"[654013352, 172336765]",30,34144,0
Gary Dunlap,M,180272439,2000-11-01,Sophomore,School of Environmental and Biological Sciences,1,1,['BS' 'MH' 'BH'],Traditional Residence Hall,4000-6000,5000,[666661510],30,34367,0
Robert Stewart,M,745898400,2000-03-05,Senior,School of Arts and Sciences,1,1,['NCA' 'BS' 'SA'],Suite,8000-11000,10000,"[691391491, 886663842]",30,35066,0
Lori Villanueva,F,473841916,1993-12-22,Masters,Graduate School of Education,1,1,['JA' 'BA'],Apartment,10500-12000,11000,[],30,35088,0
Shane Jimenez,M,681131052,1999-12-21,Sophomore,School of Social Work,1,1,['WS' 'BS' 'MZH'],Traditional Residence Hall,8000-11000,10000,"[300305515, 737544377]",30,35266,0
Frank Berry,M,114730323,2005-07-29,Junior,Rutgers Business School–Newark and New Brunswick,1,1,['RA' 'BS' 'MZH'],Suite,8000-11000,10000,[461439507],30,35654,0
Chad Garcia,M,668720571,1997-04-21,Doctorate,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,8000-10500,9500,[],30,35691,0
Russell Myers,M,912675600,1994-08-18,Masters,Graduate School of Education,1,1,['BA' 'JA'],Apartment,8000-10500,9500,"[567318144, 855743068]",30,37117,0
Larry Hickman,M,312669093,2000-07-22,Masters,Graduate School of Education,1,1,['BA' 'JA'],Apartment,10500-12000,11000,[],30,37461,0
Cory Romero,M,997072879,2003-12-03,Sophomore,School of Arts and Sciences,1,1,['SA' 'NCA' 'RA'],Apartment,4000-6000,5000,[934218518],30,37523,0
