name,sex,RUID,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,preferred_price_range,max_price,roommate_preferences,weights,lottery_number,assigned
Cassandra Grimes,F,235801524,Sophomore,Mason Gross School of the Arts,1,1,['NCA' 'SA' 'WS'],Apartment,1,6000-8000,9000,[197727085],30,12568,0
Chad Sullivan,M,673412387,Senior,School of Arts and Sciences,1,1,['MS' 'BS' 'RA'],Suite,1,4000-6000,7000,[980511636],30,13180,0
Robin Swanson,F,140269955,Senior,Edward J. Bloustein School of Planning and Public Policy,1,1,['BS' 'RA' 'NCA'],Apartment,1,8000-11000,12000,[392022065],30,13537,0
Jessica Johnson,F,146033002,Sophomore,School of Communication and Information,1,1,['JS' 'MH' 'MS'],Apartment,1,8000-11000,12000,"[229111712, 381718866]",30,13753,0
Mary Glover,F,242443437,Sophomore,School of Management and Labor Relations,1,1,['RA' 'SA' 'NCA'],Apartment,1,8000-11000,12000,"[550884743, 123301669]",30,13939,0
Derek Mays,M,421348960,Sophomore,School of Social Work,1,1,['BS' 'TS' 'MS'],Suite,1,8000-11000,12000,[],30,14365,0
Donald Elliott,M,599537905,Masters,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,1,10500-12000,13000,"[488658395, 542327544]",30,15349,0
Patrick Miles,M,778271980,Masters,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,1,10500-12000,13000,"[583890929, 839472189]",30,15431,0
Rebecca Bush,F,195136134,Sophomore,School of Engineering,1,1,['BH' 'MZH' 'RA'],Suite,1,8000-11000,12000,[],30,15502,0
Tracey Bean,F,356942659,Doctorate,Graduate School of Applied and Professional Psychology,1,1,['JA' 'BA'],Apartment,1,10500-12000,13000,"[886327894, 732750157]",30,15768,0
Leah Gomez,F,391871370,Masters,School of Graduate Studies,1,1,['JA' 'BA'],Apartment,1,9000-10500,11500,[],30,15974,0
Jill Lane,F,513557420,Senior,School of Communication and Information,1,1,['BS' 'MS' 'NCA'],Traditional Residence Hall,1,8000-11000,12000,[],30,16431,0
Michael Wood,M,405883909,Sophomore,School of Arts and Sciences,1,1,['BH' 'CS' 'WS'],Apartment,1,8000-11000,12000,"[666056377, 668098417]",30,16542,0
Kelli Taylor,F,614235486,Sophomore,School of Communication and Information,1,1,['MS' 'RA' 'SA'],Suite,1,4000-6000,7000,"[636940885, 971093122]",30,17118,0
Kathleen Bradford,F,395027204,Sophomore,School of Arts and Sciences,1,1,['AH' 'JS' 'BS'],Suite,1,8000-11000,12000,"[508575942, 807593757]",30,17559,0
Crystal Brown,F,497150032,Junior,School of Management and Labor Relations,1,1,['RA' 'BS' 'BH'],Apartment,1,8000-11000,12000,[814495139],30,17654,0
Jeffrey Morris,M,970115449,Masters,Graduate School of Education,1,1,['BA' 'JA'],Apartment,1,9000-10500,11500,"[559400672, 874622707]",30,18172,0
Brooke Hendricks,F,250493217,Junior,School of Communication and Information,1,1,['TS' 'WS' 'BS'],Apartment,1,8000-11000,12000,"[105387064, 461121746]",30,18593,0
Shaun Kirby,M,416631404,Sophomore,School of Communication and Information,1,1,['SA' 'BH' 'BS'],Apartment,1,8000-11000,12000,"[263114644, 830605717]",30,19039,0
James Gregory,M,181677577,Senior,Edward J. Bloustein School of Planning and Public Policy,1,1,['BS' 'NCA' 'SA'],Traditional Residence Hall,1,8000-11000,12000,"[817725684, 293322859]",30,19544,0
Christopher Rogers,M,867729508,Senior,School of Arts and Sciences,1,1,['NCA' 'MH' 'BS'],Apartment,1,8000-11000,12000,"[550908020, 879869758]",30,19814,0
David Collins,M,962496566,Junior,School of Communication and Information,1,1,['MS' 'BS' 'MZH'],Traditional Residence Hall,1,8000-11000,12000,"[483255768, 563252550]",30,20377,0
Angela Powell,F,165740564,Senior,School of Environmental and Biological Sciences,1,1,['SA' 'MRS' 'RA'],Suite,1,8000-11000,12000,[116460056],30,20466,0
Katie Marks,F,713303411,Freshman,School of Engineering,1,0,['WS' 'JS' 'TS'],Apartment,1,8000-11000,12000,[],25,190,0
Norman Davis,M,419456486,Freshman,School of Engineering,1,0,['BS' 'MS' 'MZH'],Apartment,1,4000-6000,7000,[],25,282,0
Cameron Gentry,M,712589349,Freshman,School of Communication and Information,1,0,['NCA' 'SA' 'BS'],Suite,1,6000-8000,9000,"[651180929, 900292504]",25,322,0
Michael Garrett,M,722871966,Freshman,School of Arts and Sciences,1,0,['SA' 'BS' 'MRS'],Suite,1,8000-11000,12000,"[125024953, 399136556]",25,961,0
Kara Herrera,F,754337950,Freshman,Rutgers Business School–Newark and New Brunswick,1,0,['NCA' 'BS' 'SA'],Suite,1,4000-6000,7000,"[694754336, 127616206]",25,1072,0
Steven Waller,M,141985208,Freshman,School of Arts and Sciences,1,0,['AH' 'NCA' 'MZH'],Apartment,1,8000-11000,12000,[342740293],25,1351,0
Melissa Morse,F,431879861,Freshman,Edward J. Bloustein School of Planning and Public Policy,1,0,['MS' 'SA' 'CS'],Suite,1,6000-8000,9000,[],25,1579,0
Nicole Smith,F,613829497,Freshman,Mason Gross School of the Arts,1,0,['RA' 'NCA' 'SA'],Suite,1,6000-8000,9000,[],25,2056,0
Robert Blair,M,217646579,Freshman,Edward J. Bloustein School of Planning and Public Policy,1,0,['MZH' 'MRS' 'BS'],Traditional Residence Hall,1,8000-11000,12000,[],25,2193,0
James Pena,M,968250744,Freshman,School of Arts and Sciences,1,0,['RA' 'NCA' 'TS'],Apartment,1,4000-6000,7000,[],25,2412,0
Patricia Hall,F,381799424,Freshman,School of Arts and Sciences,1,0,['JS' 'NCA' 'SA'],Suite,1,4000-6000,7000,[782886784],25,2614,0
Richard Smith,M,616153008,Freshman,Mason Gross School of the Arts,1,0,['BS' 'MS' 'AH'],Traditional Residence Hall,1,4000-6000,7000,"[719341945, 205018220]",25,2831,0
Richard Shaw,M,437601750,Freshman,School of Communication and Information,1,0,['BS' 'MZH' 'SA'],Apartment,1,8000-11000,12000,[],25,3224,0
Tommy Clarke,M,118395035,Freshman,School of Arts and Sciences,1,0,['AH' 'MZH' 'SA'],Suite,1,8000-11000,12000,"[884477033, 924552238]",25,3906,0
Amy Webb,F,829974117,Freshman,School of Arts and Sciences,1,0,['JS' 'BS' 'MZH'],Apartment,1,4000-6000,7000,[],25,4074,0
Rhonda Cunningham,F,293949758,Freshman,Edward J. Bloustein School of Planning and Public Policy,1,0,['TS' 'RA' 'SA'],Traditional Residence Hall,1,8000-11000,12000,[],25,4398,0
Beth Glover,F,665306954,Freshman,Mason Gross School of the Arts,1,0,['AH' 'SA' 'NCA'],Apartment,1,8000-11000,12000,[],25,4475,0
Katie Shaw,F,876536835,Freshman,School of Management and Labor Relations,1,0,['NCA' 'AH' 'SA'],Apartment,1,8000-11000,12000,[212322652],25,4505,0
Jennifer Hamilton,F,944379524,Freshman,Rutgers Business School–Newark and New Brunswick,1,0,['RA' 'WS' 'SA'],Apartment,1,4000-6000,7000,"[683732129, 425603845]",25,4623,0
Thomas Knox,M,826635682,Freshman,School of Communication and Information,1,0,['SA' 'MH' 'BS'],Suite,1,8000-11000,12000,[118631869],25,4757,0
Joseph Jackson,M,246292891,Freshman,School of Arts and Sciences,1,0,['RA' 'JS' 'SA'],Suite,1,8000-11000,12000,[957577168],25,4873,0
Melanie Baker,F,253626558,Freshman,School of Engineering,1,0,['MS' 'BH' 'RA'],Apartment,1,8000-11000,12000,"[950328706, 797865371]",25,5060,0
Mr. Andrew Waller,M,858989153,Freshman,Mason Gross School of the Arts,1,0,['SA' 'CS' 'MH'],Suite,1,8000-11000,12000,"[366420440, 614977411]",25,5549,0
Denise Walker,F,506829005,Freshman,School of Arts and Sciences,1,0,['JS' 'MRS' 'NCA'],Traditional Residence Hall,1,8000-11000,12000,"[555062935, 294888788]",25,5560,0
Jennifer Fry,F,218978006,Freshman,School of Engineering,1,0,['MZH' 'CS' 'BS'],Suite,1,8000-11000,12000,"[615406338, 397363363]",25,6375,0
Cesar Lawson,M,531933341,Freshman,School of Engineering,1,0,['MRS' 'WS' 'NCA'],Suite,1,4000-6000,7000,[209126072],25,6703,0
Karen Crawford,F,322756208,Freshman,School of Arts and Sciences,1,0,['MS' 'JS' 'BS'],Traditional Residence Hall,1,8000-11000,12000,"[934504391, 846875439]",25,7026,0
Rita Soto,F,743926919,Freshman,School of Environmental and Biological Sciences,1,0,['RA' 'BH' 'SA'],Traditional Residence Hall,1,8000-11000,12000,"[227357230, 750725146]",25,7210,0
Mrs. Sabrina Sullivan,F,199040425,Freshman,Rutgers Business School–Newark and New Brunswick,1,0,['MS' 'BS' 'CS'],Apartment,1,8000-11000,12000,[239978274],25,7371,0
Tonya Grant,F,801334382,Freshman,School of Communication and Information,1,0,['BS' 'CS' 'NCA'],Suite,1,4000-6000,7000,[910299413],25,7736,0
Tina Turner,F,431227454,Freshman,Rutgers Business School–Newark and New Brunswick,1,0,['BH' 'AH' 'SA'],Suite,1,8000-11000,12000,[],25,8009,0
Carrie Garcia,F,816843484,Freshman,School of Arts and Sciences,1,0,['MZH' 'BS' 'TS'],Suite,1,4000-6000,7000,"[543169362, 884993006]",25,8594,0
Mary Sanchez,F,900294641,Freshman,School of Engineering,1,0,['RA' 'SA' 'MS'],Apartment,1,4000-6000,7000,[],25,9247,0
Jonathan Thompson,M,699784220,Freshman,School of Arts and Sciences,1,0,['SA' 'MZH' 'BH'],Traditional Residence Hall,1,4000-6000,7000,[326739917],25,9822,0
Marc Camacho,M,593386504,Freshman,School of Arts and Sciences,1,0,['MZH' 'MH' 'AH'],Apartment,1,6000-8000,9000,"[951221704, 213657805]",25,10140,0
Amanda Miller,F,176192101,Freshman,School of Communication and Information,1,0,['MH' 'BS' 'MS'],Apartment,1,4000-6000,7000,[422935203],25,10190,0
Zachary Bender,M,146201673,Freshman,School of Arts and Sciences,1,0,['NCA' 'BS' 'MRS'],Apartment,1,4000-6000,7000,[],25,10827,0
Shawn Floyd,M,915021141,Freshman,School of Arts and Sciences,1,0,['AH' 'BS' 'NCA'],Apartment,1,4000-6000,7000,"[695254722, 277212858]",25,11172,0
Jonathan Miller,M,758701139,Freshman,Rutgers Business School–Newark and New Brunswick,1,0,['MH' 'WS' 'AH'],Suite,1,8000-11000,12000,"[617758162, 456131248]",25,11846,0
Manuel Lopez,M,814205403,Freshman,Edward J. Bloustein School of Planning and Public Policy,1,0,['BS' 'SA' 'MS'],Suite,1,8000-11000,12000,"[420432980, 713011882]",25,12204,0
Sandy Taylor,F,626144661,Freshman,School of Communication and Information,1,0,['WS' 'SA' 'BH'],Apartment,1,8000-11000,12000,[779402815],25,12543,0
Jerry Ferguson,M,998413776,Freshman,School of Communication and Information,1,0,['MZH' 'AH' 'MH'],Traditional Residence Hall,1,6000-8000,9000,[612415105],25,12594,0
David Yoder,M,679203803,Freshman,School of Engineering,1,0,['AH' 'MRS' 'BS'],Apartment,1,8000-11000,12000,[],25,12798,0
Julia Collins,F,139335352,Freshman,Mason Gross School of the Arts,1,0,['TS' 'MZH' 'NCA'],Apartment,1,8000-11000,12000,"[428059939, 379523423]",25,13181,0
Jeffrey Golden,M,501018462,Freshman,School of Environmental and Biological Sciences,1,0,['BS' 'SA' 'MH'],Apartment,1,8000-11000,12000,"[671208479, 845387388]",25,13510,0
Alexandria Schmidt,F,524510518,Freshman,School of Arts and Sciences,1,0,['NCA' 'RA' 'MRS'],Apartment,1,4000-6000,7000,"[764311367, 423915914]",25,14682,0
Robert Kline,M,478435780,Freshman,School of Arts and Sciences,1,0,['CS' 'MS' 'MH'],Suite,1,4000-6000,7000,[613018268],25,14751,0
Kara Brown,F,985563551,Freshman,School of Arts and Sciences,1,0,['SA' 'JS' 'MZH'],Traditional Residence Hall,1,8000-11000,12000,[355989517],25,14875,0
Shannon Sawyer,F,693423974,Freshman,School of Arts and Sciences,1,0,['NCA' 'CS' 'BS'],Apartment,1,8000-11000,12000,[],25,15076,0
Kimberly Patel,F,134917145,Freshman,School of Arts and Sciences,1,0,['BS' 'NCA' 'JS'],Apartment,1,8000-11000,12000,[],25,15431,0
Linda Avila,F,570558252,Freshman,School of Communication and Information,1,0,['AH' 'MS' 'NCA'],Apartment,1,6000-8000,9000,"[949655035, 715525040]",25,15471,0
Hannah West,F,672481774,Freshman,Edward J. Bloustein School of Planning and Public Policy,1,0,['BS' 'JS' 'NCA'],Apartment,1,8000-11000,12000,"[175676215, 193428414]",25,15641,0
Billy Williams,M,385152361,Freshman,School of Social Work,1,0,['BS' 'SA' 'MZH'],Suite,1,4000-6000,7000,"[453781051, 883192000]",25,15970,0
Jennifer Molina,F,127812714,Freshman,School of Engineering,1,0,['NCA' 'TS' 'RA'],Traditional Residence Hall,1,6000-8000,9000,[],25,17338,0
Connor Curry,M,414799907,Freshman,School of Arts and Sciences,1,0,['BH' 'NCA' 'WS'],Suite,1,4000-6000,7000,[933524155],25,17771,0
Jerry Robinson Jr.,M,751283639,Freshman,School of Environmental and Biological Sciences,1,0,['SA' 'BS' 'CS'],Suite,1,8000-11000,12000,"[823618196, 372697155]",25,17806,0
Alexis Hines,F,318064950,Freshman,School of Arts and Sciences,1,0,['BS' 'MS' 'WS'],Suite,1,8000-11000,12000,[],25,18351,0
Elizabeth Ramirez,F,272852563,Freshman,School of Arts and Sciences,1,0,['RA' 'BS' 'NCA'],Traditional Residence Hall,1,8000-11000,12000,"[416331507, 881010624]",25,18364,0
Katherine Howard,F,829922523,Freshman,School of Environmental and Biological Sciences,1,0,['MRS' 'BS' 'TS'],Traditional Residence Hall,1,8000-11000,12000,[],25,18517,0
Mary Schmidt,F,701872997,Freshman,School of Arts and Sciences,1,0,['NCA' 'BS' 'MS'],Apartment,1,4000-6000,7000,[207341201],25,18531,0
Jessica Weaver,F,536495740,Freshman,School of Arts and Sciences,1,0,['MRS' 'SA' 'NCA'],Apartment,1,8000-11000,12000,[500329107],25,18602,0
Jason Harris,M,630823011,Freshman,School of Arts and Sciences,1,0,['SA' 'MS' 'BS'],Suite,1,6000-8000,9000,"[136510099, 499371607]",25,19113,0
Tammy Rodriguez,F,123121265,Freshman,School of Arts and Sciences,1,0,['MH' 'TS' 'BS'],Suite,1,6000-8000,9000,"[756041257, 911098707]",25,19378,0
Derek Medina,M,208819740,Freshman,Edward J. Bloustein School of Planning and Public Policy,1,0,['BS' 'CS' 'JS'],Suite,1,8000-11000,12000,[],25,19654,0
Kimberly Oconnell,F,332790009,Freshman,Mason Gross School of the Arts,1,0,['BS' 'SA' 'MZH'],Apartment,1,8000-11000,12000,"[181002100, 960192913]",25,19879,0
Frank Graham,M,717741141,Freshman,Mason Gross School of the Arts,1,0,['NCA' 'BS' 'JS'],Traditional Residence Hall,1,4000-6000,7000,[852163813],25,20454,0
Robert King,M,148410323,Freshman,Mason Gross School of the Arts,1,0,['BS' 'MZH' 'MRS'],Apartment,1,8000-11000,12000,"[476960934, 509763743]",25,20596,0
John Andrews,M,808209660,Freshman,School of Arts and Sciences,1,0,['JS' 'NCA' 'RA'],Suite,1,4000-6000,7000,[255848212],25,20853,0
Joshua Lutz,M,726815962,Freshman,Mason Gross School of the Arts,1,0,['SA' 'RA' 'NCA'],Apartment,1,8000-11000,12000,"[805307295, 294653371]",25,21278,0
William Johnson,M,375797132,Senior,School of Arts and Sciences,1,0,['JS' 'SA' 'BS'],Suite,1,6000-8000,9000,"[810509599, 339592882]",20,55,0
Gary Suarez,M,843774388,Junior,School of Arts and Sciences,1,0,['BH' 'SA' 'BS'],Apartment,1,8000-11000,12000,"[218467051, 931246376]",20,118,0
Eddie Graham,M,871517055,Junior,Edward J. Bloustein School of Planning and Public Policy,1,0,['SA' 'NCA' 'BS'],Apartment,1,6000-8000,9000,"[178373961, 583520529]",20,413,0
Kevin Beard,M,580810313,Junior,School of Engineering,1,0,['BS' 'NCA' 'SA'],Apartment,1,6000-8000,9000,"[255879525, 186440668]",20,540,0
Richard Gray,M,267309651,Junior,School of Engineering,1,0,['RA' 'MH' 'MZH'],Suite,1,8000-11000,12000,"[873135957, 193419803]",20,781,0
Anthony Chavez,M,315887469,Senior,School of Arts and Sciences,1,0,['MS' 'BS' 'RA'],Apartment,1,4000-6000,7000,[507645757],20,901,0
Cheyenne Lloyd,F,633205221,Senior,School of Arts and Sciences,1,0,['MS' 'BS' 'MRS'],Suite,1,4000-6000,7000,[619619714],20,1284,0
Jasmine Crawford,F,883053469,Doctorate,School of Graduate Studies,1,0,['JA' 'BA'],Apartment,1,9000-10500,11500,"[175748512, 937541281]",20,1549,0
Diane Moore,F,143470505,Junior,School of Arts and Sciences,1,0,['MRS' 'BS' 'BH'],Apartment,1,4000-6000,7000,[],20,1844,0
Christopher Simpson,M,708902739,Junior,School of Social Work,1,0,['NCA' 'BS' 'TS'],Suite,1,6000-8000,9000,"[505871444, 334335106]",20,1905,0
Amy Manning,F,279155414,Junior,School of Management and Labor Relations,1,0,['JS' 'AH' 'RA'],Apartment,1,8000-11000,12000,[196842628],20,2487,0
Kimberly Jimenez,F,545634234,Masters,School of Graduate Studies,1,0,['BA' 'JA'],Apartment,1,9000-10500,11500,[796933005],20,2524,0
Heidi Morris,F,500950555,Sophomore,Mason Gross School of the Arts,1,0,['CS' 'MZH' 'NCA'],Traditional Residence Hall,1,8000-11000,12000,"[916815440, 537964945]",20,2732,0
Samantha Estrada,F,260187009,Junior,School of Arts and Sciences,1,0,['BS' 'MS' 'JS'],Apartment,1,8000-11000,12000,[986577787],20,2899,0
Mrs. Donna Brown DVM,F,220677145,Sophomore,Edward J. Bloustein School of Planning and Public Policy,1,0,['MS' 'SA' 'NCA'],Suite,1,8000-11000,12000,"[952542679, 690231685]",20,3062,0
Ashlee Ramos,F,103279700,Sophomore,Mason Gross School of the Arts,1,0,['SA' 'MZH' 'MS'],Apartment,1,8000-11000,12000,"[828838114, 371281525]",20,3069,0
Veronica Mclaughlin,F,953861606,Sophomore,School of Engineering,1,0,['NCA' 'CS' 'MS'],Apartment,1,8000-11000,12000,"[481704624, 952570393]",20,3288,0
Dr. Christina Romero MD,F,776731345,Junior,School of Social Work,1,0,['BS' 'RA' 'SA'],Suite,1,8000-11000,12000,"[426290340, 998091646]",20,3307,0
Jennifer Simmons,F,977522906,Sophomore,School of Engineering,1,0,['WS' 'BS' 'RA'],Apartment,1,8000-11000,12000,[],20,3310,0
Arthur Morris,M,456856068,Sophomore,Mason Gross School of the Arts,1,0,['RA' 'MS' 'MH'],Suite,1,6000-8000,9000,"[392274484, 346981704]",20,3312,0
Melissa Sanchez,F,842781593,Senior,School of Engineering,1,0,['BS' 'NCA' 'SA'],Suite,1,4000-6000,7000,[],20,3318,0
Bradley Martin,M,886868976,Sophomore,School of Arts and Sciences,1,0,['NCA' 'CS' 'RA'],Apartment,1,6000-8000,9000,"[432095642, 380525595]",20,3430,0
Aaron Hurley,M,383167218,Senior,Mason Gross School of the Arts,1,0,['SA' 'MS' 'BS'],Traditional Residence Hall,1,8000-11000,12000,"[377143169, 782031001]",20,4015,0
Amanda Nixon,F,787243002,Junior,Mason Gross School of the Arts,1,0,['NCA' 'BS' 'MRS'],Traditional Residence Hall,1,4000-6000,7000,[],20,4026,0
Frank Walker,M,826944304,Senior,School of Arts and Sciences,1,0,['AH' 'BS' 'SA'],Suite,1,6000-8000,9000,"[960027453, 578128972]",20,4031,0
