name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,preferred_price_range,max_price,roommate_preferences,weights,lottery_number,assigned
Christopher Rogers,M,867729508,2002-03-27,Senior,School of Arts and Sciences,1,1,['NCA' 'MH' 'BS'],Apartment,8000-11000,12000,"[550908020, 879869758]",30,430,0
Donald Elliott,M,599537905,1998-04-30,Masters,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,10500-12000,13000,"[488658395, 542327544]",30,562,0
Cassandra Grimes,F,235801524,2001-02-12,Sophomore,Mason Gross School of the Arts,1,1,['NCA' 'SA' 'WS'],Apartment,6000-8000,9000,[197727085],30,1000,0
Angela Powell,F,165740564,1999-11-28,Senior,School of Environmental and Biological Sciences,1,1,['SA' 'MRS' 'RA'],Suite,8000-11000,12000,[116460056],30,1168,0
Christopher Davis Jr.,M,229111712,2000-07-11,Senior,Rutgers Business School–Newark and New Brunswick,1,1,['MS' 'BS' 'SA'],Suite,8000-11000,12000,"[146033002, 381718866]",30,1426,0
Justin Miles,M,484798610,2001-03-20,Sophomore,School of Arts and Sciences,1,1,['AH' 'MS' 'MH'],Suite,8000-11000,12000,"[559594740, 138620691]",30,1562,0
John Weaver,M,708618762,2002-10-31,Sophomore,Rutgers Business School–Newark and New Brunswick,1,1,['JS' 'BS' 'NCA'],Suite,4000-6000,7000,[],30,2711,0
Shaun Kirby,M,416631404,2003-05-12,Sophomore,School of Communication and Information,1,1,['SA' 'BH' 'BS'],Apartment,8000-11000,12000,"[263114644, 830605717]",30,3003,0
Chad Sullivan,M,673412387,2003-01-08,Senior,School of Arts and Sciences,1,1,['MS' 'BS' 'RA'],Suite,4000-6000,7000,[980511636],30,3035,0
James Whitney,M,741979671,2003-01-20,Senior,Rutgers Business School–Newark and New Brunswick,1,1,['SA' 'RA' 'WS'],Apartment,8000-11000,12000,[],30,3824,0
Leah Gomez,F,391871370,1995-09-03,Masters,School of Graduate Studies,1,1,['JA' 'BA'],Apartment,9000-10500,11500,[],30,3986,0
Melody Mcdonald,F,358523559,2001-06-15,Junior,Mason Gross School of the Arts,1,1,['WS' 'RA' 'NCA'],Traditional Residence Hall,6000-8000,9000,"[436814690, 735514799]",30,4210,0
Kathleen Bradford,F,395027204,2001-10-29,Sophomore,School of Arts and Sciences,1,1,['AH' 'JS' 'BS'],Suite,8000-11000,12000,"[508575942, 807593757]",30,4469,0
Derek Mays,M,421348960,2004-11-22,Sophomore,School of Social Work,1,1,['BS' 'TS' 'MS'],Suite,8000-11000,12000,[],30,4884,0
Jasmine Haas,F,265647131,1998-05-13,Doctorate,Graduate School of Education,1,1,['JA' 'BA'],Apartment,9000-10500,11500,"[240825560, 471917519]",30,5534,0
Madison Raymond,F,925776060,2000-06-11,Senior,School of Engineering,1,1,['MRS' 'BS' 'BH'],Traditional Residence Hall,8000-11000,12000,[],30,5930,0
Eric Mcguire,M,782031001,2001-08-29,Junior,School of Arts and Sciences,1,1,['SA' 'NCA' 'MS'],Apartment,8000-11000,12000,[383167218],30,6214,0
Charles Smith,M,259235621,1998-06-22,Masters,Graduate School of Education,1,1,['JA' 'BA'],Apartment,9000-10500,11500,[717820322],30,7277,0
Brett Nielsen,M,473480806,2002-07-10,Junior,Edward J. Bloustein School of Planning and Public Policy,1,1,['MRS' 'MZH' 'MH'],Apartment,8000-11000,12000,[941122497],30,7736,0
Dr. Logan Foster,M,371687366,2003-03-17,Junior,School of Arts and Sciences,1,1,['BH' 'BS' 'MZH'],Suite,4000-6000,7000,[],30,8044,0
James Gregory,M,181677577,2002-06-13,Senior,Edward J. Bloustein School of Planning and Public Policy,1,1,['BS' 'NCA' 'SA'],Traditional Residence Hall,8000-11000,12000,"[817725684, 293322859]",30,9094,0
David Collins,M,962496566,2005-08-26,Junior,School of Communication and Information,1,1,['MS' 'BS' 'MZH'],Traditional Residence Hall,8000-11000,12000,"[483255768, 563252550]",30,9273,0
Kelli Taylor,F,614235486,2003-07-14,Sophomore,School of Communication and Information,1,1,['MS' 'RA' 'SA'],Suite,4000-6000,7000,"[636940885, 971093122]",30,9523,0
David Reyes,M,804561863,2005-05-15,Sophomore,School of Social Work,1,1,['SA' 'RA' 'BS'],Apartment,8000-11000,12000,[],30,9740,0
Jeffrey Morris,M,970115449,1994-07-02,Masters,Graduate School of Education,1,1,['BA' 'JA'],Apartment,9000-10500,11500,"[559400672, 874622707]",30,10363,0
Patrick Miles,M,778271980,1999-01-26,Masters,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,10500-12000,13000,"[583890929, 839472189]",30,10699,0
Crystal Brown,F,497150032,2004-08-24,Junior,School of Management and Labor Relations,1,1,['RA' 'BS' 'BH'],Apartment,8000-11000,12000,[814495139],30,11501,0
Christopher Mcmillan,M,899960331,2003-03-02,Sophomore,School of Environmental and Biological Sciences,1,1,['JS' 'BS' 'SA'],Apartment,4000-6000,7000,"[570695388, 610136614]",30,11567,0
Rebecca Bush,F,195136134,2005-07-02,Sophomore,School of Engineering,1,1,['BH' 'MZH' 'RA'],Suite,8000-11000,12000,[],30,11707,0
Marcus Shaw,M,633042485,2002-01-16,Junior,School of Arts and Sciences,1,1,['NCA' 'BS' 'AH'],Apartment,6000-8000,9000,[],30,12407,0
Tracey Bean,F,356942659,1996-02-07,Doctorate,Graduate School of Applied and Professional Psychology,1,1,['JA' 'BA'],Apartment,10500-12000,13000,"[886327894, 732750157]",30,12492,0
Samantha Porter,F,349706137,2001-05-13,Junior,School of Arts and Sciences,1,1,['WS' 'SA' 'MH'],Suite,6000-8000,9000,[],30,12749,0
Erin Washington,F,814673942,2001-01-08,Sophomore,School of Arts and Sciences,1,1,['MRS' 'CS' 'BS'],Traditional Residence Hall,8000-11000,12000,[],30,13413,0
Matthew Schaefer,M,712701549,2000-04-24,Doctorate,School of Graduate Studies,1,1,['BA' 'JA'],Apartment,9000-10500,11500,[453585903],30,13430,0
Alyssa Arias,F,348938666,1995-09-15,Doctorate,Graduate School of Education,1,1,['JA' 'BA'],Apartment,10500-12000,13000,[],30,13638,0
Sally Garcia,F,978755356,2001-10-29,Sophomore,School of Arts and Sciences,1,1,['RA' 'BS' 'NCA'],Suite,6000-8000,9000,[512100232],30,14152,0
Mary Glover,F,242443437,2000-02-21,Sophomore,School of Management and Labor Relations,1,1,['RA' 'SA' 'NCA'],Apartment,8000-11000,12000,"[550884743, 123301669]",30,14747,0
Brooke Hendricks,F,250493217,2000-10-10,Junior,School of Communication and Information,1,1,['TS' 'WS' 'BS'],Apartment,8000-11000,12000,"[105387064, 461121746]",30,15187,0
Patricia Cardenas,F,727401636,2001-03-10,Junior,Edward J. Bloustein School of Planning and Public Policy,1,1,['NCA' 'SA' 'RA'],Apartment,6000-8000,9000,"[280675721, 821736837]",30,15707,0
Michael Wood,M,405883909,2003-03-10,Sophomore,School of Arts and Sciences,1,1,['BH' 'CS' 'WS'],Apartment,8000-11000,12000,"[666056377, 668098417]",30,16083,0
Christian Keller,M,855087868,1997-02-20,Doctorate,School of Graduate Studies,1,1,['JA' 'BA'],Apartment,9000-10500,11500,[],30,16879,0
Robin Swanson,F,140269955,2001-01-14,Senior,Edward J. Bloustein School of Planning and Public Policy,1,1,['BS' 'RA' 'NCA'],Apartment,8000-11000,12000,[392022065],30,18381,0
Sarah Hernandez,F,788083481,2003-03-25,Junior,School of Environmental and Biological Sciences,1,1,['CS' 'AH' 'SA'],Suite,8000-11000,12000,"[596038656, 389625159]",30,18712,0
Eric Hammond,M,334893667,2002-04-12,Senior,School of Communication and Information,1,1,['BH' 'BS' 'NCA'],Suite,8000-11000,12000,"[511913334, 664871607]",30,20583,0
Jessica Johnson,F,146033002,2005-02-18,Sophomore,School of Communication and Information,1,1,['JS' 'MH' 'MS'],Apartment,8000-11000,12000,"[229111712, 381718866]",30,20714,0
John Andrews,M,808209660,2005-01-09,Freshman,School of Arts and Sciences,1,0,['JS' 'NCA' 'RA'],Suite,4000-6000,7000,[255848212],25,100,0
Katherine Howard,F,829922523,2000-09-11,Freshman,School of Environmental and Biological Sciences,1,0,['MRS' 'BS' 'TS'],Traditional Residence Hall,8000-11000,12000,[],25,231,0
Cesar Lawson,M,531933341,2003-06-29,Freshman,School of Engineering,1,0,['MRS' 'WS' 'NCA'],Suite,4000-6000,7000,[209126072],25,410,0
Jennifer Hamilton,F,944379524,2005-04-02,Freshman,Rutgers Business School–Newark and New Brunswick,1,0,['RA' 'WS' 'SA'],Apartment,4000-6000,7000,"[683732129, 425603845]",25,524,0
Thomas Knox,M,826635682,1999-12-09,Freshman,School of Communication and Information,1,0,['SA' 'MH' 'BS'],Suite,8000-11000,12000,[118631869],25,932,0
Kimberly Oconnell,F,332790009,2004-08-19,Freshman,Mason Gross School of the Arts,1,0,['BS' 'SA' 'MZH'],Apartment,8000-11000,12000,"[181002100, 960192913]",25,1372,0
Connor Curry,M,414799907,2004-01-21,Freshman,School of Arts and Sciences,1,0,['BH' 'NCA' 'WS'],Suite,4000-6000,7000,[933524155],25,1445,0
Katie Marks,F,713303411,2004-02-06,Freshman,School of Engineering,1,0,['WS' 'JS' 'TS'],Apartment,8000-11000,12000,[],25,1664,0
Amanda Miller,F,176192101,2002-04-30,Freshman,School of Communication and Information,1,0,['MH' 'BS' 'MS'],Apartment,4000-6000,7000,[422935203],25,1685,0
Tina Turner,F,431227454,2003-07-06,Freshman,Rutgers Business School–Newark and New Brunswick,1,0,['BH' 'AH' 'SA'],Suite,8000-11000,12000,[],25,1897,0
Tommy Clarke,M,118395035,2003-04-21,Freshman,School of Arts and Sciences,1,0,['AH' 'MZH' 'SA'],Suite,8000-11000,12000,"[884477033, 924552238]",25,2052,0
Tonya Grant,F,801334382,2000-03-15,Freshman,School of Communication and Information,1,0,['BS' 'CS' 'NCA'],Suite,4000-6000,7000,[910299413],25,2344,0
Nicole Smith,F,613829497,2000-06-03,Freshman,Mason Gross School of the Arts,1,0,['RA' 'NCA' 'SA'],Suite,6000-8000,9000,[],25,2760,0
Jerry Ferguson,M,998413776,2005-02-20,Freshman,School of Communication and Information,1,0,['MZH' 'AH' 'MH'],Traditional Residence Hall,6000-8000,9000,[612415105],25,3062,0
Sandy Taylor,F,626144661,2003-02-14,Freshman,School of Communication and Information,1,0,['WS' 'SA' 'BH'],Apartment,8000-11000,12000,[779402815],25,3412,0
David Yoder,M,679203803,2002-12-16,Freshman,School of Engineering,1,0,['AH' 'MRS' 'BS'],Apartment,8000-11000,12000,[],25,3655,0
Jennifer Molina,F,127812714,2001-01-24,Freshman,School of Engineering,1,0,['NCA' 'TS' 'RA'],Traditional Residence Hall,6000-8000,9000,[],25,3774,0
Kara Brown,F,985563551,2000-12-01,Freshman,School of Arts and Sciences,1,0,['SA' 'JS' 'MZH'],Traditional Residence Hall,8000-11000,12000,[355989517],25,4804,0
Shawn Floyd,M,915021141,2004-11-01,Freshman,School of Arts and Sciences,1,0,['AH' 'BS' 'NCA'],Apartment,4000-6000,7000,"[695254722, 277212858]",25,5271,0
Linda Avila,F,570558252,2000-06-05,Freshman,School of Communication and Information,1,0,['AH' 'MS' 'NCA'],Apartment,6000-8000,9000,"[949655035, 715525040]",25,5476,0
Amy Webb,F,829974117,2004-03-16,Freshman,School of Arts and Sciences,1,0,['JS' 'BS' 'MZH'],Apartment,4000-6000,7000,[],25,5574,0
Alexis Hines,F,318064950,2005-05-11,Freshman,School of Arts and Sciences,1,0,['BS' 'MS' 'WS'],Suite,8000-11000,12000,[],25,5592,0
Joshua Lutz,M,726815962,2001-03-27,Freshman,Mason Gross School of the Arts,1,0,['SA' 'RA' 'NCA'],Apartment,8000-11000,12000,"[805307295, 294653371]",25,6587,0
Beth Glover,F,665306954,2001-03-21,Freshman,Mason Gross School of the Arts,1,0,['AH' 'SA' 'NCA'],Apartment,8000-11000,12000,[],25,6620,0
Mary Sanchez,F,900294641,2000-05-01,Freshman,School of Engineering,1,0,['RA' 'SA' 'MS'],Apartment,4000-6000,7000,[],25,6687,0
Richard Shaw,M,437601750,2001-04-12,Freshman,School of Communication and Information,1,0,['BS' 'MZH' 'SA'],Apartment,8000-11000,12000,[],25,7337,0
Carrie Garcia,F,816843484,2001-10-22,Freshman,School of Arts and Sciences,1,0,['MZH' 'BS' 'TS'],Suite,4000-6000,7000,"[543169362, 884993006]",25,7402,0
Melanie Baker,F,253626558,2001-11-07,Freshman,School of Engineering,1,0,['MS' 'BH' 'RA'],Apartment,8000-11000,12000,"[950328706, 797865371]",25,7601,0
Jerry Robinson Jr.,M,751283639,2003-05-23,Freshman,School of Environmental and Biological Sciences,1,0,['SA' 'BS' 'CS'],Suite,8000-11000,12000,"[823618196, 372697155]",25,7832,0
Alexandria Schmidt,F,524510518,2004-06-12,Freshman,School of Arts and Sciences,1,0,['NCA' 'RA' 'MRS'],Apartment,4000-6000,7000,"[764311367, 423915914]",25,7886,0
Marc Camacho,M,593386504,2004-11-17,Freshman,School of Arts and Sciences,1,0,['MZH' 'MH' 'AH'],Apartment,6000-8000,9000,"[951221704, 213657805]",25,8045,0
Melissa Morse,F,431879861,2004-03-04,Freshman,Edward J. Bloustein School of Planning and Public Policy,1,0,['MS' 'SA' 'CS'],Suite,6000-8000,9000,[],25,8253,0
Jennifer Fry,F,218978006,2002-11-10,Freshman,School of Engineering,1,0,['MZH' 'CS' 'BS'],Suite,8000-11000,12000,"[615406338, 397363363]",25,8367,0
Robert Kline,M,478435780,2002-01-31,Freshman,School of Arts and Sciences,1,0,['CS' 'MS' 'MH'],Suite,4000-6000,7000,[613018268],25,8926,0
Mrs. Sabrina Sullivan,F,199040425,2003-10-04,Freshman,Rutgers Business School–Newark and New Brunswick,1,0,['MS' 'BS' 'CS'],Apartment,8000-11000,12000,[239978274],25,10076,0
Mary Schmidt,F,701872997,2000-06-12,Freshman,School of Arts and Sciences,1,0,['NCA' 'BS' 'MS'],Apartment,4000-6000,7000,[207341201],25,10090,0
Hannah West,F,672481774,2004-02-17,Freshman,Edward J. Bloustein School of Planning and Public Policy,1,0,['BS' 'JS' 'NCA'],Apartment,8000-11000,12000,"[175676215, 193428414]",25,10225,0
Karen Crawford,F,322756208,2002-04-03,Freshman,School of Arts and Sciences,1,0,['MS' 'JS' 'BS'],Traditional Residence Hall,8000-11000,12000,"[934504391, 846875439]",25,10713,0
Richard Smith,M,616153008,2005-07-03,Freshman,Mason Gross School of the Arts,1,0,['BS' 'MS' 'AH'],Traditional Residence Hall,4000-6000,7000,"[719341945, 205018220]",25,10753,0
Rhonda Cunningham,F,293949758,2001-10-21,Freshman,Edward J. Bloustein School of Planning and Public Policy,1,0,['TS' 'RA' 'SA'],Traditional Residence Hall,8000-11000,12000,[],25,11239,0
Steven Waller,M,141985208,2005-02-11,Freshman,School of Arts and Sciences,1,0,['AH' 'NCA' 'MZH'],Apartment,8000-11000,12000,[342740293],25,11241,0
Shannon Sawyer,F,693423974,2000-03-19,Freshman,School of Arts and Sciences,1,0,['NCA' 'CS' 'BS'],Apartment,8000-11000,12000,[],25,11379,0
Jonathan Miller,M,758701139,2003-04-02,Freshman,Rutgers Business School–Newark and New Brunswick,1,0,['MH' 'WS' 'AH'],Suite,8000-11000,12000,"[617758162, 456131248]",25,11383,0
Jason Harris,M,630823011,2001-01-03,Freshman,School of Arts and Sciences,1,0,['SA' 'MS' 'BS'],Suite,6000-8000,9000,"[136510099, 499371607]",25,12326,0
Jonathan Thompson,M,699784220,2000-01-29,Freshman,School of Arts and Sciences,1,0,['SA' 'MZH' 'BH'],Traditional Residence Hall,4000-6000,7000,[326739917],25,12809,0
Cameron Gentry,M,712589349,2000-03-10,Freshman,School of Communication and Information,1,0,['NCA' 'SA' 'BS'],Suite,6000-8000,9000,"[651180929, 900292504]",25,12995,0
Kara Herrera,F,754337950,2003-05-02,Freshman,Rutgers Business School–Newark and New Brunswick,1,0,['NCA' 'BS' 'SA'],Suite,4000-6000,7000,"[694754336, 127616206]",25,12996,0
Mr. Andrew Waller,M,858989153,2001-12-05,Freshman,Mason Gross School of the Arts,1,0,['SA' 'CS' 'MH'],Suite,8000-11000,12000,"[366420440, 614977411]",25,13689,0
Denise Walker,F,506829005,2005-01-21,Freshman,School of Arts and Sciences,1,0,['JS' 'MRS' 'NCA'],Traditional Residence Hall,8000-11000,12000,"[555062935, 294888788]",25,13872,0
Michael Garrett,M,722871966,1999-12-09,Freshman,School of Arts and Sciences,1,0,['SA' 'BS' 'MRS'],Suite,8000-11000,12000,"[125024953, 399136556]",25,14356,0
Katie Shaw,F,876536835,2002-08-18,Freshman,School of Management and Labor Relations,1,0,['NCA' 'AH' 'SA'],Apartment,8000-11000,12000,[212322652],25,15348,0
Robert Blair,M,217646579,2003-02-17,Freshman,Edward J. Bloustein School of Planning and Public Policy,1,0,['MZH' 'MRS' 'BS'],Traditional Residence Hall,8000-11000,12000,[],25,15401,0
Tammy Rodriguez,F,123121265,2004-06-13,Freshman,School of Arts and Sciences,1,0,['MH' 'TS' 'BS'],Suite,6000-8000,9000,"[756041257, 911098707]",25,15568,0
Robert King,M,148410323,2001-11-08,Freshman,Mason Gross School of the Arts,1,0,['BS' 'MZH' 'MRS'],Apartment,8000-11000,12000,"[476960934, 509763743]",25,16361,0
Jessica Weaver,F,536495740,2003-01-02,Freshman,School of Arts and Sciences,1,0,['MRS' 'SA' 'NCA'],Apartment,8000-11000,12000,[500329107],25,16733,0
Patricia Hall,F,381799424,2005-02-07,Freshman,School of Arts and Sciences,1,0,['JS' 'NCA' 'SA'],Suite,4000-6000,7000,[782886784],25,16905,0
Zachary Bender,M,146201673,2000-12-04,Freshman,School of Arts and Sciences,1,0,['NCA' 'BS' 'MRS'],Apartment,4000-6000,7000,[],25,16946,0
James Pena,M,968250744,2001-03-10,Freshman,School of Arts and Sciences,1,0,['RA' 'NCA' 'TS'],Apartment,4000-6000,7000,[],25,17111,0
Manuel Lopez,M,814205403,2000-11-16,Freshman,Edward J. Bloustein School of Planning and Public Policy,1,0,['BS' 'SA' 'MS'],Suite,8000-11000,12000,"[420432980, 713011882]",25,17581,0
Jeffrey Golden,M,501018462,2000-06-25,Freshman,School of Environmental and Biological Sciences,1,0,['BS' 'SA' 'MH'],Apartment,8000-11000,12000,"[671208479, 845387388]",25,17924,0
Billy Williams,M,385152361,2001-06-26,Freshman,School of Social Work,1,0,['BS' 'SA' 'MZH'],Suite,4000-6000,7000,"[453781051, 883192000]",25,18492,0
Frank Graham,M,717741141,2005-08-15,Freshman,Mason Gross School of the Arts,1,0,['NCA' 'BS' 'JS'],Traditional Residence Hall,4000-6000,7000,[852163813],25,18713,0
Joseph Jackson,M,246292891,2000-08-03,Freshman,School of Arts and Sciences,1,0,['RA' 'JS' 'SA'],Suite,8000-11000,12000,[957577168],25,18792,0
Julia Collins,F,139335352,2002-07-13,Freshman,Mason Gross School of the Arts,1,0,['TS' 'MZH' 'NCA'],Apartment,8000-11000,12000,"[428059939, 379523423]",25,19268,0
Elizabeth Ramirez,F,272852563,2001-02-07,Freshman,School of Arts and Sciences,1,0,['RA' 'BS' 'NCA'],Traditional Residence Hall,8000-11000,12000,"[416331507, 881010624]",25,19350,0
Norman Davis,M,419456486,2004-12-20,Freshman,School of Engineering,1,0,['BS' 'MS' 'MZH'],Apartment,4000-6000,7000,[],25,19712,0
Derek Medina,M,208819740,2005-02-01,Freshman,Edward J. Bloustein School of Planning and Public Policy,1,0,['BS' 'CS' 'JS'],Suite,8000-11000,12000,[],25,19731,0
Kimberly Patel,F,134917145,2001-11-27,Freshman,School of Arts and Sciences,1,0,['BS' 'NCA' 'JS'],Apartment,8000-11000,12000,[],25,20490,0
Rita Soto,F,743926919,2001-02-20,Freshman,School of Environmental and Biological Sciences,1,0,['RA' 'BH' 'SA'],Traditional Residence Hall,8000-11000,12000,"[227357230, 750725146]",25,20909,0
Andrew Brown,M,237560088,2005-06-19,Sophomore,School of Communication and Information,1,0,['MRS' 'CS' 'NCA'],Suite,4000-6000,7000,"[269312613, 964905775]",20,82,0
Danielle Reynolds,F,370279797,2000-03-22,Junior,School of Arts and Sciences,1,0,['NCA' 'SA' 'BS'],Suite,4000-6000,7000,[],20,92,0
Sarah Rhodes,F,228255825,2004-04-30,Sophomore,School of Arts and Sciences,1,0,['MRS' 'NCA' 'MZH'],Suite,8000-11000,12000,"[537407684, 945620180]",20,443,0
April Martin,F,830578029,2003-04-18,Sophomore,School of Engineering,1,0,['RA' 'NCA' 'BS'],Suite,4000-6000,7000,[113916855],20,818,0
Kelly Parks,F,455068162,2003-07-16,Sophomore,School of Arts and Sciences,1,0,['NCA' 'SA' 'JS'],Apartment,8000-11000,12000,"[754941221, 138900656]",20,826,0
Joanne Foster,F,312463212,2000-10-07,Sophomore,School of Arts and Sciences,1,0,['MS' 'NCA' 'RA'],Suite,8000-11000,12000,"[213549038, 379979629]",20,879,0
Richard Gray,M,267309651,2005-07-02,Junior,School of Engineering,1,0,['RA' 'MH' 'MZH'],Suite,8000-11000,12000,"[873135957, 193419803]",20,885,0
Michael Travis,M,404132341,1998-10-09,Doctorate,School of Graduate Studies,1,0,['JA' 'BA'],Apartment,10500-12000,13000,[],20,1693,0
Natalie Hughes,F,921219547,1994-03-30,Doctorate,School of Graduate Studies,1,0,['BA' 'JA'],Apartment,9000-10500,11500,"[108847488, 543521474]",20,2189,0
Daniel Ayala,M,968623342,2003-04-02,Sophomore,Rutgers Business School–Newark and New Brunswick,1,0,['MZH' 'MRS' 'CS'],Suite,4000-6000,7000,[],20,2448,0
Zachary Morris,M,687906641,2004-12-13,Sophomore,School of Arts and Sciences,1,0,['BS' 'MZH' 'SA'],Suite,4000-6000,7000,"[355988313, 439769260]",20,2497,0
Gregory Perez,M,271142225,2003-10-25,Sophomore,Rutgers Business School–Newark and New Brunswick,1,0,['WS' 'MRS' 'NCA'],Suite,4000-6000,7000,[],20,2758,0
Melanie Garcia,F,526322143,1997-06-03,Masters,School of Graduate Studies,1,0,['BA' 'JA'],Apartment,9000-10500,11500,"[826945742, 946483524]",20,2940,0
Amy Manning,F,279155414,2001-03-14,Junior,School of Management and Labor Relations,1,0,['JS' 'AH' 'RA'],Apartment,8000-11000,12000,[196842628],20,2951,0
Laura Ramirez,F,220815256,1999-12-26,Masters,School of Graduate Studies,1,0,['BA' 'JA'],Apartment,9000-10500,11500,"[198354464, 243553815]",20,2967,0
Brianna Romero,F,711333981,1997-06-05,Doctorate,School of Graduate Studies,1,0,['JA' 'BA'],Apartment,9000-10500,11500,"[497954559, 786436991]",20,3046,0
