name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price,roommate_preferences,lottery_number
Cindy Rivera,F,513833517,2005-04-27,Freshman,School of Arts and Sciences,0,1,['NCA' 'JS' 'MZH'],Suite,1,1,1,8000-11000,12000,[],219
Samuel Vaughn,M,841153819,2002-04-20,Sophomore,School of Arts and Sciences,0,1,['TS' 'BS' 'MH'],Apartment,1,0,1,6000-8000,9000,"[436996665, 344499048]",219
Heidi Rich,F,417319928,2003-09-28,Sophomore,School of Arts and Sciences,0,1,['NCA' 'BS' 'JS'],Traditional Residence Hall,1,1,1,8000-11000,12000,[],221
Brandy Garner,F,294237396,2002-12-31,Junior,School of Arts and Sciences,0,0,['CS' 'MS' 'RA'],Suite,1,0,1,4000-6000,7000,[],226
Jerry Robinson Jr.,M,751283639,2003-05-23,Freshman,School of Environmental and Biological Sciences,1,0,['SA' 'BS' 'CS'],Suite,1,1,1,8000-11000,12000,"[823618196, 372697155]",235
Gregory Allen,M,238456661,2002-01-05,Junior,Mason Gross School of the Arts,0,1,['BS' 'NCA' 'WS'],Traditional Residence Hall,1,1,1,4000-6000,7000,[],241
Brad Allen,M,377741210,2004-02-07,Sophomore,School of Communication and Information,0,1,['MZH' 'CS' 'BS'],Suite,1,1,1,4000-6000,7000,"[469476848, 674806353]",254
David Abbott,M,774412331,2002-09-29,Sophomore,School of Arts and Sciences,0,1,['JS' 'RA' 'WS'],Suite,1,1,1,4000-6000,7000,[],264
Chad Mayer,M,317503275,2004-04-03,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'MS' 'RA'],Apartment,1,1,1,8000-11000,12000,"[877878372, 310320779]",266
Rebecca Curtis,F,919928304,2003-11-01,Senior,School of Arts and Sciences,0,1,['MRS' 'BS' 'RA'],Suite,1,1,1,4000-6000,7000,"[294085246, 866253426]",268
Kevin Phelps,M,314570754,2002-11-26,Junior,School of Environmental and Biological Sciences,0,0,['BS' 'MH' 'MS'],Apartment,1,1,1,4000-6000,7000,"[461602109, 979112885]",272
Gregory Parsons,M,322887927,2001-05-06,Sophomore,School of Engineering,0,0,['BS' 'NCA' 'RA'],Suite,1,0,1,6000-8000,9000,[],275
Jonathan Pitts,M,539369979,1998-08-17,Doctorate,School of Graduate Studies,0,0,['JA' 'BA'],Apartment,1,1,1,10500-12000,13000,[959272032],276
Kimberly Rivers,F,204430180,2000-05-10,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1,['MZH' 'BH' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,7000,[],282
Cesar Lawson,M,531933341,2003-06-29,Freshman,School of Engineering,1,0,['MRS' 'WS' 'NCA'],Suite,1,1,1,4000-6000,7000,[209126072],283
Kevin Ochoa,M,428059939,2004-12-23,Senior,School of Communication and Information,0,1,['BS' 'RA' 'BH'],Apartment,1,1,1,8000-11000,12000,"[139335352, 379523423]",286
Andrew Glover,M,185239765,2001-06-12,Sophomore,School of Engineering,0,0,['MZH' 'SA' 'BS'],Apartment,1,1,1,8000-11000,12000,[],290
Stephen Cox,M,345251840,2001-01-09,Sophomore,School of Arts and Sciences,0,0,['BS' 'AH' 'RA'],Suite,1,1,1,8000-11000,12000,[],292
Jacqueline Ware,F,463762057,2005-06-14,Junior,School of Communication and Information,0,1,['BS' 'SA' 'AH'],Apartment,1,0,1,6000-8000,9000,[],299
Christina Edwards,F,360915282,2000-08-07,Freshman,School of Arts and Sciences,0,0,['MZH' 'RA' 'CS'],Suite,1,0,1,8000-11000,12000,[682226258],304
George Williams,M,407909946,2004-04-16,Freshman,School of Environmental and Biological Sciences,0,1,['NCA' 'BS' 'SA'],Traditional Residence Hall,1,1,1,6000-8000,9000,[],307
Eric Vega,M,365003150,2000-02-12,Sophomore,School of Arts and Sciences,0,0,['SA' 'NCA' 'BS'],Apartment,1,1,1,6000-8000,9000,"[444344033, 253154688]",308
Tanya Schwartz,F,550908020,2001-01-15,Freshman,School of Management and Labor Relations,0,0,['MS' 'NCA' 'SA'],Suite,1,1,0,8000-11000,12000,"[867729508, 879869758]",308
Wanda Phillips,F,594804570,1993-11-28,Doctorate,Graduate School of Education,0,1,['BA' 'JA'],Apartment,1,1,1,10500-12000,13000,[],308
Amy Cortez,F,662213057,2004-09-19,Sophomore,School of Engineering,0,0,['CS' 'AH' 'BH'],Traditional Residence Hall,1,1,1,8000-11000,12000,[],313
Leslie Hansen,F,449851841,2001-05-18,Sophomore,School of Arts and Sciences,0,0,['NCA' 'SA' 'AH'],Apartment,1,1,1,8000-11000,12000,"[579216646, 203017422]",314
Johnathan Klein,M,831529360,2001-11-12,Freshman,School of Arts and Sciences,0,1,['NCA' 'RA' 'MZH'],Apartment,1,1,1,8000-11000,12000,"[213742093, 385119120]",317
Mrs. Mariah Mitchell PhD,F,850172024,2001-06-15,Freshman,Mason Gross School of the Arts,0,0,['TS' 'RA' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,7000,"[463907427, 154608278]",324
Julie Stevens,F,762996437,2001-01-20,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['MRS' 'BS' 'MS'],Suite,1,1,1,8000-11000,12000,[],329
George Farley,M,222346109,2002-10-10,Sophomore,School of Arts and Sciences,0,0,['MZH' 'RA' 'NCA'],Apartment,1,1,1,4000-6000,7000,[],332
Eric Anderson,M,622182385,2003-05-24,Sophomore,School of Arts and Sciences,0,1,['NCA' 'MH' 'BS'],Apartment,1,1,0,8000-11000,12000,[115146376],332
Katie Silva,F,133777061,2004-07-10,Freshman,School of Management and Labor Relations,0,0,['WS' 'RA' 'BS'],Apartment,1,0,1,8000-11000,12000,[],336
Mary Stevens,F,615640608,2003-07-09,Junior,School of Arts and Sciences,0,1,['BS' 'SA' 'MH'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[555012696, 690124743]",340
Cynthia Martin,F,224996239,1999-10-14,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'BS' 'AH'],Suite,1,0,1,8000-11000,12000,[107616597],346
Marie Davidson,F,777850980,2002-09-28,Freshman,School of Arts and Sciences,0,0,['BS' 'MRS' 'BH'],Suite,1,1,1,6000-8000,9000,"[688134247, 897130133]",350
Donald Hickman,M,917822222,2001-01-12,Junior,School of Arts and Sciences,0,0,['BS' 'NCA' 'MZH'],Suite,1,1,1,6000-8000,9000,"[148375222, 791806556]",357
Benjamin Jones,M,183428545,2002-12-13,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BH' 'BS' 'JS'],Apartment,1,1,1,8000-11000,12000,[769527094],358
Sara Patterson,F,241578571,2000-11-03,Junior,School of Arts and Sciences,0,0,['NCA' 'RA' 'BS'],Suite,1,1,0,8000-11000,12000,[],359
Thomas Brewer,M,549150224,1999-10-29,Senior,Mason Gross School of the Arts,0,0,['BS' 'BH' 'MH'],Suite,1,1,1,4000-6000,7000,"[719114679, 806941303]",362
Richard Torres,M,200180369,2005-03-14,Junior,School of Arts and Sciences,0,1,['RA' 'MZH' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000,[548010221],362
Melanie Gomez,F,808127824,1995-11-21,Masters,Graduate School of Education,0,0,['BA' 'JA'],Apartment,1,1,1,10500-12000,13000,[206428496],366
Joseph Walsh MD,M,343991581,2004-10-22,Sophomore,School of Arts and Sciences,0,1,['NCA' 'MZH' 'JS'],Suite,1,1,1,6000-8000,9000,"[905391352, 380643691]",374
David Ross,M,439467205,2005-05-19,Sophomore,School of Arts and Sciences,0,0,['CS' 'BS' 'MS'],Suite,1,1,1,4000-6000,7000,"[277391295, 486534700]",377
Cameron Williams,M,111463921,2001-07-01,Freshman,School of Arts and Sciences,0,0,['NCA' 'RA' 'JS'],Suite,1,1,1,6000-8000,9000,[],380
Christine Mckenzie,F,427153202,2002-05-10,Junior,School of Arts and Sciences,0,0,['SA' 'BH' 'MS'],Apartment,1,1,1,8000-11000,12000,"[326126059, 835984229]",384
Dawn Jackson,F,862528167,2005-08-05,Junior,School of Arts and Sciences,0,0,['BS' 'JS' 'SA'],Traditional Residence Hall,1,1,0,8000-11000,12000,"[704008862, 856379080]",384
Amanda Clark,F,311486876,2001-12-12,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['BS' 'MH' 'WS'],Traditional Residence Hall,1,0,1,6000-8000,9000,"[946910238, 962720625]",384
Timothy Scott,M,461036961,2000-07-17,Sophomore,School of Arts and Sciences,0,1,['WS' 'SA' 'TS'],Suite,1,1,1,4000-6000,7000,"[725611979, 316301884]",385
David Wood,M,682226258,2005-01-12,Freshman,School of Arts and Sciences,0,0,['RA' 'MH' 'NCA'],Apartment,1,1,0,6000-8000,9000,"[991863631, 360915282]",386
William Johnson,M,375797132,2004-10-28,Senior,School of Arts and Sciences,1,0,['JS' 'SA' 'BS'],Suite,1,1,1,6000-8000,9000,"[810509599, 339592882]",395
Jeremy Hall,M,390346299,1998-03-12,Doctorate,School of Graduate Studies,0,0,['JA' 'BA'],Apartment,1,1,1,10500-12000,13000,[],395
Stephen Pace,M,223835919,2002-02-05,Sophomore,Mason Gross School of the Arts,0,1,['MS' 'NCA' 'JS'],Traditional Residence Hall,1,1,1,6000-8000,9000,"[216383472, 203276565]",396
Howard Perez DDS,M,294707707,2000-12-05,Freshman,School of Arts and Sciences,0,1,['RA' 'BS' 'SA'],Apartment,1,1,1,8000-11000,12000,"[518750071, 363516624]",396
Patricia Marsh,F,140852396,2004-11-15,Sophomore,School of Arts and Sciences,0,0,['NCA' 'MH' 'SA'],Apartment,1,1,1,4000-6000,7000,[],403
Dwayne Howell,M,211401025,2005-09-06,Senior,Edward J. Bloustein School of Planning and Public Policy,0,1,['MS' 'NCA' 'WS'],Apartment,1,1,1,6000-8000,9000,[901779243],411
Nicholas Hawkins,M,367161882,1993-10-09,Masters,Graduate School of Applied and Professional Psychology,0,0,['BA' 'JA'],Apartment,1,1,1,10500-12000,13000,[761012156],413
Jasmine Townsend,F,995831271,2003-05-19,Junior,School of Arts and Sciences,0,1,['TS' 'MS' 'RA'],Apartment,1,1,1,8000-11000,12000,"[256953916, 721448022]",428
Gregory Lyons,M,678368975,2001-09-08,Senior,School of Arts and Sciences,0,1,['SA' 'BS' 'WS'],Apartment,1,1,1,4000-6000,7000,[],433
Christopher Wong,M,506020732,2005-01-24,Sophomore,School of Communication and Information,0,0,['MS' 'BH' 'MZH'],Suite,1,1,1,4000-6000,7000,[165987355],436
Richard Nielsen,M,872633806,2002-08-12,Freshman,School of Arts and Sciences,0,0,['BS' 'AH' 'JS'],Suite,1,1,1,6000-8000,9000,[],454
Justin Phillips,M,146789310,2003-04-15,Freshman,School of Arts and Sciences,0,0,['SA' 'RA' 'AH'],Apartment,1,1,1,8000-11000,12000,[808913489],455
Christina Booth,F,557678398,2003-05-25,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['NCA' 'BS' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,7000,"[412530389, 458225096]",461
Tamara Nelson,F,179524590,2004-09-29,Freshman,Mason Gross School of the Arts,0,0,['MH' 'SA' 'RA'],Apartment,1,1,1,4000-6000,7000,[915530547],466
Kristin Mathews,F,968415907,2002-06-27,Sophomore,School of Arts and Sciences,0,0,['MS' 'RA' 'SA'],Apartment,1,1,1,8000-11000,12000,[],470
Amanda Miller,F,176192101,2002-04-30,Freshman,School of Communication and Information,1,0,['MH' 'BS' 'MS'],Apartment,1,1,1,4000-6000,7000,[422935203],473
Morgan Aguirre,F,856853834,2004-03-23,Freshman,School of Management and Labor Relations,0,0,['BH' 'MH' 'MRS'],Traditional Residence Hall,1,1,1,6000-8000,9000,[],479
Wendy Sullivan,F,754941221,2003-08-10,Sophomore,School of Arts and Sciences,0,0,['MH' 'SA' 'MS'],Suite,1,1,1,8000-11000,12000,"[455068162, 138900656]",490
Peggy Baker,F,508379395,2002-03-13,Sophomore,Mason Gross School of the Arts,0,0,['MH' 'JS' 'BS'],Traditional Residence Hall,1,1,1,6000-8000,9000,[],497
Christopher Phillips,M,787084934,1997-05-16,Postdoctoral studies,Graduate School of Applied and Professional Psychology,0,0,['BA' 'JA'],Apartment,1,1,1,9000-10500,11500,[206085693],497
Michael Miller,M,782065370,2005-03-25,Sophomore,School of Environmental and Biological Sciences,0,0,['MRS' 'JS' 'SA'],Suite,1,1,1,8000-11000,12000,"[235456899, 578110061]",502
Dr. Kristina Collins MD,F,235297338,2004-08-20,Junior,School of Environmental and Biological Sciences,0,0,['WS' 'TS' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,7000,"[476114076, 368573664]",503
Benjamin Boyd,M,653682060,2004-04-03,Freshman,School of Arts and Sciences,0,0,['BS' 'MS' 'BH'],Apartment,1,1,1,8000-11000,12000,[255793110],505
Erin Oliver,F,599790268,2004-03-29,Freshman,School of Arts and Sciences,0,1,['WS' 'RA' 'MZH'],Suite,1,0,1,4000-6000,7000,[529384530],508
Curtis Steele,M,512068498,2002-08-14,Junior,School of Engineering,0,0,['MRS' 'JS' 'CS'],Suite,1,1,1,8000-11000,12000,"[116023359, 383851452]",509
Cassandra Grimes,F,235801524,2001-02-12,Sophomore,Mason Gross School of the Arts,1,1,['NCA' 'SA' 'WS'],Apartment,1,1,1,6000-8000,9000,[197727085],521
Keith Gates Jr.,M,176941350,2001-01-10,Freshman,School of Communication and Information,0,0,['BH' 'BS' 'MS'],Apartment,1,1,1,4000-6000,7000,"[479471840, 962540038]",521
William Jenkins,M,890791640,2000-01-05,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'MH' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,7000,"[199279160, 356053200]",526
Angela White,F,716334363,2001-12-17,Sophomore,School of Communication and Information,0,0,['MS' 'NCA' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000,[256448121],527
James Reid,M,885840254,2002-01-09,Sophomore,School of Arts and Sciences,0,1,['BS' 'NCA' 'MS'],Suite,1,1,1,6000-8000,9000,[115628919],528
Lauren Yang,F,846966368,2000-02-06,Freshman,School of Arts and Sciences,0,1,['BH' 'RA' 'WS'],Apartment,1,1,1,6000-8000,9000,"[507115700, 660494973]",535
Mr. William Casey,M,855696439,2001-12-12,Sophomore,School of Social Work,0,1,['TS' 'RA' 'NCA'],Apartment,1,1,1,4000-6000,7000,"[157645797, 128951970]",539
Desiree Abbott,F,125587941,2000-06-13,Senior,School of Management and Labor Relations,0,0,['SA' 'BS' 'NCA'],Suite,1,1,1,6000-8000,9000,[],551
Larry James,M,734057537,2000-06-13,Freshman,School of Arts and Sciences,0,0,['MS' 'BS' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,7000,[506114859],552
Matthew Ray,M,274133104,2001-11-12,Sophomore,School of Management and Labor Relations,0,1,['WS' 'MH' 'NCA'],Apartment,1,1,1,6000-8000,9000,"[401509251, 811150559]",552
Eric Harrell,M,263478877,2001-06-07,Sophomore,School of Arts and Sciences,0,0,['NCA' 'BS' 'AH'],Traditional Residence Hall,1,1,1,8000-11000,12000,[],555
Sierra Lucero,F,520087514,2004-10-03,Freshman,School of Arts and Sciences,0,1,['BS' 'SA' 'CS'],Apartment,1,1,1,8000-11000,12000,[],560
Jo Duarte,F,255272014,2004-05-16,Sophomore,School of Communication and Information,0,1,['RA' 'MZH' 'NCA'],Apartment,1,1,1,6000-8000,9000,"[171337876, 289321107]",566
Patricia Smith,F,601729855,2004-07-18,Sophomore,School of Arts and Sciences,0,0,['TS' 'NCA' 'CS'],Suite,1,0,1,8000-11000,12000,"[500667599, 630634746]",580
Christopher Johnson DDS,M,147406731,2001-03-05,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['JS' 'BH' 'NCA'],Apartment,1,1,1,8000-11000,12000,[],588
Lindsey Williams,F,736260713,1998-07-09,Doctorate,School of Graduate Studies,0,1,['BA' 'JA'],Apartment,1,1,1,9000-10500,11500,[127127166],590
Ashley Arroyo,F,409355419,2005-05-18,Sophomore,School of Engineering,0,1,['MS' 'BS' 'MZH'],Apartment,1,1,1,8000-11000,12000,[528352636],597
Scott Lin Jr.,M,666056377,2003-03-16,Freshman,School of Arts and Sciences,0,0,['JS' 'MS' 'NCA'],Apartment,1,1,1,4000-6000,7000,"[405883909, 668098417]",609
Robert Banks,M,877617987,1994-09-05,Postdoctoral studies,School of Graduate Studies,0,1,['BA' 'JA'],Apartment,1,1,1,10500-12000,13000,"[705250892, 171309239]",624
Christian Pugh,M,112788948,2005-04-27,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'WS' 'MS'],Suite,1,1,1,4000-6000,7000,[],626
Colleen Jones,F,522298674,2001-07-13,Freshman,School of Engineering,0,0,['SA' 'AH' 'MZH'],Apartment,1,1,1,6000-8000,9000,"[502115128, 766580233]",629
Michael Bell,M,866253426,2005-01-30,Sophomore,School of Engineering,0,0,['BS' 'NCA' 'RA'],Traditional Residence Hall,1,0,0,6000-8000,9000,[294085246],632
Kathleen Burns,F,657824192,2004-08-05,Sophomore,Rutgers Business School–Newark and New Brunswick,1,0,['MS' 'NCA' 'BS'],Traditional Residence Hall,1,1,1,6000-8000,9000,"[606926510, 821768490]",633
Nicole Gonzalez,F,443172403,2003-10-21,Sophomore,School of Arts and Sciences,1,0,['BS' 'MS' 'CS'],Traditional Residence Hall,1,1,1,4000-6000,7000,[138747690],644
Derrick Blake,M,312349783,2001-01-20,Junior,Rutgers Business School–Newark and New Brunswick,0,1,['NCA' 'WS' 'BS'],Apartment,1,1,1,6000-8000,9000,[141384928],647
William Massey,M,896335711,2001-09-21,Sophomore,School of Arts and Sciences,0,1,['NCA' 'SA' 'RA'],Apartment,1,1,1,8000-11000,12000,[455866131],653
Gregory Patel,M,595614361,2000-12-01,Junior,School of Arts and Sciences,0,0,['BH' 'BS' 'WS'],Suite,1,0,1,4000-6000,7000,[],657
Alexandra Ellis,F,406664016,2000-07-04,Freshman,School of Arts and Sciences,0,0,['RA' 'MZH' 'MS'],Suite,1,1,0,6000-8000,9000,"[135879146, 584852846]",661
Tiffany Mack,F,157645797,2000-10-24,Junior,School of Arts and Sciences,0,1,['WS' 'AH' 'BS'],Suite,1,1,1,4000-6000,7000,"[855696439, 128951970]",664
Charles Taylor,M,760123085,2003-02-26,Freshman,School of Environmental and Biological Sciences,0,1,['MZH' 'BS' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,7000,"[702983217, 885682541]",671
Cheyenne Lloyd,F,633205221,2003-11-30,Senior,School of Arts and Sciences,1,0,['MS' 'BS' 'MRS'],Suite,1,1,1,4000-6000,7000,[619619714],677
Cole Graves,M,700063392,1999-12-25,Freshman,School of Arts and Sciences,0,1,['CS' 'MS' 'MRS'],Suite,1,1,0,8000-11000,12000,[],685
Kimberly Rhodes,F,118606903,2003-04-07,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['RA' 'MRS' 'BS'],Apartment,1,1,1,4000-6000,7000,"[271337775, 332071049]",685
Nicole Sims,F,534054822,2005-02-21,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['MS' 'BS' 'NCA'],Traditional Residence Hall,1,0,1,4000-6000,7000,[],692
Christopher Morrow,M,397044857,2001-02-07,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['NCA' 'MZH' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[631681896, 344307262]",693
Michelle Blake,F,395823882,2000-05-21,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'BS' 'NCA'],Suite,1,1,1,6000-8000,9000,[378971387],699
